GeneID,F15.6,F25.1,F39.6,F48.7
Mycth_59005,5876.8,761.53,72.12,28.83
Mycth_2312852,3360.19,2718.1,1864.76,1166.17
Mycth_49824,2608.6,958.49,2487.17,1660.39
Mycth_110651,2249.66,2623.56,1990.88,606.87
Mycth_112089,2100.76,1274.05,1735.85,930.01
Mycth_2295438,1923.8,1416.73,1132.39,1152.76
Mycth_109566,1801.21,402.84,1333.47,567.17
Mycth_75296,1619.33,580.79,225.54,99.86
Mycth_66729,1610.5,708.15,1230.89,574.54
Mycth_2134935,1512.59,1071.79,410.18,430.73
Mycth_2314963,1329.71,355.47,1578.97,1411.08
Mycth_2303011,1304.92,4593.48,4535.63,3603.03
Mycth_77354,1233.51,977.74,1264.22,1459.95
Mycth_2296382,1219.42,1067.55,1050.81,1295.83
Mycth_110674,1169.71,403.09,145.8,180.86
Mycth_2308241,1124.62,7899.58,4343.4,2833.46
Mycth_2066457,1074.23,688.66,1340.27,599.6
Mycth_2300252,1067.55,1044.58,1049.94,1282.18
Mycth_107866,1055.82,2067.93,1018.76,912.2
Mycth_2311457,1044.57,660,1043.25,1264.32
Mycth_109444,999.66,1194.45,1650.79,854.17
Mycth_2296183,826.69,701.42,337.23,323.6
Mycth_86753,787.55,238.18,481.03,211.38
Mycth_2315557,763.7,979.46,1076.88,1148.67
Mycth_2304231,751.27,1074.63,2218.52,3039.17
Mycth_81925,715.7,89.14,52.92,31.43
Mycth_106819,713.2,492.56,1085.53,1392.59
Mycth_2305783,701.23,443.54,325.38,321.54
Mycth_94171,697.27,492.66,672.32,401.3
Mycth_2303328,678.47,765.05,930.6,672.56
Mycth_2315007,677.06,464,310.17,253.67
Mycth_2313370,660.12,412.26,521.88,754.71
Mycth_2296005,655.26,450.19,790.3,507.37
Mycth_2299445,654.35,565.62,625.94,872.36
Mycth_52496,631.37,1046.76,301.23,181.56
Mycth_2090891,621.33,115.85,323.78,310.86
Mycth_2310464,617.77,333.64,293.84,322.11
Mycth_115968,612.72,181.22,100.38,58.29
Mycth_2297779,593.78,818.4,698.9,667.86
Mycth_2301567,578.48,47.61,1271.6,1555.29
Mycth_2294895,565.81,270.58,281.94,303.43
Mycth_2309011,557.58,719.61,313.08,405.66
Mycth_53851,537.29,539.43,406.77,382.3
Mycth_33936,520.65,173.78,252.17,91.05
Mycth_2297204,514.36,592.52,414.47,605.71
Mycth_110821,501.38,521.81,390.08,367.11
Mycth_109821,489.89,566.49,537.1,372.79
Mycth_2315513,484.25,255.47,361.51,222.07
Mycth_98003,479.68,235.7,703.26,421.58
Mycth_2304704,460.26,390.04,351.28,315.91
Mycth_2307990,459.49,3252.13,3094.27,1736.23
Mycth_56237,445.02,74.98,42.84,20.71
Mycth_16301,439.25,236.43,183.9,187.35
Mycth_2314413,435.53,228.8,320.65,332.4
Mycth_112050,431.57,193.5,702.92,423.86
Mycth_2316112,428.58,290.6,276.78,287.56
Mycth_39555,409.58,374.77,326.48,274.3
Mycth_115983,409.5,86.6,184.68,96.38
Mycth_107178,388.4,281.98,193.92,150.02
Mycth_2303359,387.21,45.7,223.51,176.28
Mycth_2298380,383.2,450.13,2021.59,1868.46
Mycth_100068,363.86,309.36,2131.31,1000.45
Mycth_2303344,355.84,790.12,641.85,428.85
Mycth_62925,351.91,119.01,21.61,8.64
Mycth_2314976,326.09,50.75,44.52,25.44
Mycth_2308737,325.09,354.11,348.65,373.63
Mycth_60294,321.49,475.64,348.59,459.83
Mycth_2294679,317.95,234.96,298.87,300.14
Mycth_94504,310.94,155.91,110.9,139.62
Mycth_66349,294.06,484.46,296.02,202.29
Mycth_76901,283.19,310.55,285.48,186.67
Mycth_80104,283.14,387.79,286.68,225.92
Mycth_60177,282.22,140.49,151.88,149.98
Mycth_2301478,282.17,171.08,211.73,161.68
Mycth_89603,273.38,320.55,4022.86,3381.86
Mycth_75329,258.73,21.98,74.82,72.34
Mycth_2313591,255.73,201.12,238.88,224.58
Mycth_2298102,242.75,136.74,133.94,139.46
Mycth_2307328,238.48,140.75,181.43,185.3
Mycth_2315189,232.31,110.63,75.14,87.7
Mycth_60632,228.53,85.41,171.28,179.75
Mycth_71748,228.26,124.15,108.85,136.83
Mycth_2295190,223.89,195.48,230.4,238.82
Mycth_97859,223.56,157.11,85.06,67.51
Mycth_2296038,222.32,168.88,155.31,200.54
Mycth_90354,221.11,334.36,284.22,453.12
Mycth_100089,212.77,22.56,23.82,17.77
Mycth_46583,199.47,581.35,883.13,554.86
Mycth_66783,198.18,651.5,872.97,1063.79
Mycth_2308313,186.9,53.4,240.65,98.36
Mycth_2305407,185.8,258.06,194.72,95.12
Mycth_83041,183.43,301.04,364.04,568.77
