GeneID,F15.6,F25.1,F39.6,F48.7
Mycth_59005,5876.8,761.53,72.12,28.83
Mycth_2312852,3360.19,2718.1,1864.76,1166.17
Mycth_49824,2608.6,958.49,2487.17,1660.39
Mycth_110651,2249.66,2623.56,1990.88,606.87
Mycth_112089,2100.76,1274.05,1735.85,930.01
Mycth_2295438,1923.8,1416.73,1132.39,1152.76
Mycth_109566,1801.21,402.84,1333.47,567.17
Mycth_75296,1619.33,580.79,225.54,99.86
Mycth_66729,1610.5,708.15,1230.89,574.54
Mycth_2134935,1512.59,1071.79,410.18,430.73
Mycth_2314963,1329.71,355.47,1578.97,1411.08
Mycth_2303011,1304.92,4593.48,4535.63,3603.03
Mycth_77354,1233.51,977.74,1264.22,1459.95
Mycth_2296382,1219.42,1067.55,1050.81,1295.83
Mycth_110674,1169.71,403.09,145.8,180.86
Mycth_2308241,1124.62,7899.58,4343.4,2833.46
Mycth_2066457,1074.23,688.66,1340.27,599.6
Mycth_2300252,1067.55,1044.58,1049.94,1282.18
Mycth_107866,1055.82,2067.93,1018.76,912.2
Mycth_2311457,1044.57,660,1043.25,1264.32
Mycth_109444,999.66,1194.45,1650.79,854.17
Mycth_2296183,826.69,701.42,337.23,323.6
Mycth_86753,787.55,238.18,481.03,211.38
Mycth_2315557,763.7,979.46,1076.88,1148.67
Mycth_2304231,751.27,1074.63,2218.52,3039.17
Mycth_81925,715.7,89.14,52.92,31.43
Mycth_106819,713.2,492.56,1085.53,1392.59
Mycth_2305783,701.23,443.54,325.38,321.54
Mycth_94171,697.27,492.66,672.32,401.3
Mycth_2303328,678.47,765.05,930.6,672.56
Mycth_2315007,677.06,464,310.17,253.67
Mycth_2313370,660.12,412.26,521.88,754.71
Mycth_2296005,655.26,450.19,790.3,507.37
Mycth_2299445,654.35,565.62,625.94,872.36
Mycth_52496,631.37,1046.76,301.23,181.56
Mycth_2090891,621.33,115.85,323.78,310.86
Mycth_2310464,617.77,333.64,293.84,322.11
Mycth_115968,612.72,181.22,100.38,58.29
Mycth_2297779,593.78,818.4,698.9,667.86
Mycth_2301567,578.48,47.61,1271.6,1555.29
