Geneid,mt004001,mt004002,mt004003,mt004004,mt004005,mt004006,mt004007,mt004008,mt004009,mt004010,mt001001,mt001002,mt001004,mt001005,mt001003,mt002001,mt002002,mt002003,mt002004,mt007001,mt007002,mt007003,mt007004,mt007005,mt007006,mt008006,mt008007,mt008008,mt008009,mt008010,mt008011,mt008012,mt008013,mt008014,mt008015,mt008016,mt008017,mt008018,mt008019,mt008020,mt008021,mt008022,mt008023,mt008024,mt008001,mt008002,mt008003,mt008004,mt008005,mt010004,mt010001,mt010002,mt010003,mt011006,mt011005,mt011004,mt011003,mt011002,mt011001,mt012012,mt012011,mt012010,mt012009,mt012008,mt012007,mt012006,mt012005,mt012004,mt012003,mt012002,mt012001,mt013004,mt013003,mt013002,mt013001,mt009009,mt009008,mt009007,mt009006,mt009005,mt009004,mt009003,mt009002,mt009001,mt014012,mt014011,mt014010,mt014009,mt014008,mt014007,mt014006,mt014005,mt014004,mt014003,mt014002,mt014001,mt003001,mt003002,mt003003,mt005001,mt005002,mt006001,mt006002,mt006003,mt006004,mt006005,mt006006,mt006007
MYCTH_2293999,21.99,18.24,19.72,16.88,23.04,22.7,20.84,23.7,28.06,18.35,27.15,17.21,57.63,31.34,37.87,26.04,8.4,29.38,18.99,29.7,33.47,26.92,27.24,29.61,21.75,16.67,23.8,21.99,34.29,42.77,35.84,26.86,23.8,21.42,45.76,49.53,43.26,43.15,25.06,26.16,30.76,32.88,27.62,26.45,20.2,20.45,22.42,24.44,18.1,32.16,20.77,20.72,16.87,21.35,21.17,17.89,26.17,22.76,22.78,39.75,31.37,22.92,30.62,29.42,30.64,33.93,35.12,33.76,31.64,44.16,42.41,47.68,32.46,34.29,47.08,45.68,41.64,40.17,52.38,56.05,42.18,73.56,47.06,52.04,41.14,15.95,36.6,32.07,33.66,44.39,36.53,42.2,23.07,35.25,33.47,29.7,17.38,31.7,31.84,27.55,33.72,41.34,25.34,38.18,32.04,31.16,55.12,37.11
MYCTH_2294137,22.96,17.72,16.59,16.54,16.64,22.33,18.73,20.06,21.21,15.08,10.28,5.83,14.36,11.31,12.65,6.75,2.11,8.57,7.54,17.98,14.52,13.84,26.48,19.84,32.82,3.46,5.82,4.08,4.19,5.05,5.71,6.53,10.45,5.68,7.74,7.34,7.24,8.11,8.06,6.24,3.99,3.42,4.95,4.37,5.46,4.08,3.62,3.13,4.07,17.46,10.26,9.79,15.39,21.63,9.73,10.56,14.2,25.12,11.57,16.47,14.8,8.02,11.54,8.22,10.9,12.37,25.86,25.41,24.26,22.45,15.81,18.74,18.8,19.35,14.89,19.39,21.36,15.8,20.27,21.19,16.04,14.17,18.48,19.04,13.92,11.26,20.0,16.2,12.17,13.56,14.04,11.5,17.4,19.95,14.52,17.98,4.52,14.83,13.9,9.02,9.43,11.21,8.62,9.4,8.45,14.38,18.56,12.94
MYCTH_2141297,42.8,27.06,44.56,52.61,26.53,44.78,29.84,50.86,34.69,29.42,64.04,29.58,32.95,29.49,37.09,30.35,32.16,27.58,22.7,30.48,19.74,27.62,30.48,32.3,8.48,79.66,54.97,67.6,83.2,67.56,59.13,66.78,49.34,63.44,44.83,52.67,50.63,52.58,50.4,62.25,56.95,53.16,76.25,68.11,50.64,73.3,84.36,61.12,73.29,39.93,18.08,24.82,21.08,31.68,21.55,22.03,28.72,32.32,15.55,33.31,28.8,39.71,24.47,41.59,27.87,31.44,35.05,33.58,37.0,42.61,24.68,17.08,14.76,19.63,16.43,23.06,21.07,32.98,24.44,27.64,15.8,15.06,30.9,24.18,16.92,16.38,36.64,27.88,24.76,20.54,29.08,22.83,31.46,38.53,19.74,30.48,40.98,24.16,24.41,14.94,34.22,20.72,15.66,22.71,24.73,18.82,30.42,22.8
MYCTH_2294193,52.92,42.88,35.57,28.2,36.31,59.26,38.68,28.38,40.64,37.0,40.56,32.83,37.47,40.15,67.54,31.18,30.22,26.74,34.14,41.06,46.5,81.98,12.18,35.68,7.34,17.12,38.06,25.31,54.53,22.6,1.27,3.88,50.57,39.26,62.82,30.15,4.28,4.71,53.64,35.82,46.7,27.13,3.74,13.79,35.42,33.61,30.62,22.78,8.56,33.61,61.02,60.66,25.57,61.99,16.53,28.0,38.24,13.75,28.64,4.53,16.87,14.52,16.97,25.96,16.12,38.0,41.34,60.19,49.97,65.38,58.74,20.48,14.55,19.07,25.08,23.85,23.34,19.97,26.97,26.44,11.12,18.52,22.1,26.12,26.57,36.26,51.92,65.32,16.66,33.36,22.53,33.9,43.41,60.52,46.5,41.06,32.88,37.67,29.55,6.6,40.59,26.04,20.02,24.05,21.68,15.66,49.54,29.56
MYCTH_2294253,31.82,26.04,27.06,27.21,36.06,37.24,24.04,28.09,20.62,31.65,32.16,24.12,37.72,35.1,44.2,34.78,13.24,38.48,37.83,38.82,35.41,40.34,34.48,40.21,22.25,24.96,24.01,25.6,20.92,22.14,24.61,25.2,44.37,45.83,38.55,36.91,36.11,38.12,45.21,44.6,54.06,37.33,35.65,41.12,18.74,23.44,24.9,23.82,21.35,36.68,28.39,27.88,22.75,33.62,13.99,15.43,35.24,32.93,21.22,46.24,34.44,36.72,35.77,39.78,39.61,23.76,41.2,43.47,51.08,42.58,38.56,28.5,25.26,28.6,35.64,47.79,62.21,53.25,56.58,57.06,37.99,48.74,51.18,53.16,42.62,24.78,53.08,39.98,42.2,39.7,42.56,42.12,33.75,49.51,35.41,38.82,9.43,25.06,37.83,21.26,29.21,42.4,27.88,40.04,36.75,31.76,51.51,39.16
MYCTH_113715,29.29,23.4,23.4,20.9,22.9,28.87,22.04,24.1,18.05,25.49,6.8,5.7,11.24,14.44,11.07,7.56,3.97,8.66,10.02,22.01,17.11,18.66,19.77,17.81,11.58,11.62,9.12,11.67,12.43,11.28,11.77,15.28,12.46,16.36,18.48,17.4,21.76,24.73,13.71,19.08,20.05,17.76,18.55,17.91,8.86,12.41,11.84,11.28,11.27,21.46,19.76,21.22,18.72,19.35,17.2,16.48,19.3,20.85,14.08,15.36,19.42,19.9,14.78,31.16,19.52,14.3,24.34,24.07,22.78,24.82,24.2,27.06,26.63,35.82,26.88,17.87,17.09,16.85,16.99,18.5,17.76,12.24,18.79,18.27,10.43,10.48,22.62,22.8,19.42,21.3,20.87,21.48,22.08,23.25,17.11,22.01,12.27,17.26,19.01,3.2,16.08,19.1,26.99,16.67,14.47,19.6,18.88,17.92
MYCTH_2294478,47.85,53.56,48.0,44.92,53.61,51.83,49.58,44.82,46.1,42.32,17.51,18.38,36.89,30.65,34.29,20.05,10.28,24.32,21.15,47.8,30.22,31.01,42.12,37.43,27.95,19.19,15.46,17.43,15.97,14.92,12.9,15.94,22.99,24.52,22.3,20.3,20.31,20.46,23.04,33.08,26.56,21.88,24.4,24.81,13.52,17.99,14.79,13.76,13.5,41.91,23.25,29.59,31.11,25.4,10.97,21.9,25.22,25.25,20.49,27.18,27.5,31.85,38.94,37.11,36.49,30.23,42.44,40.95,40.64,44.84,36.32,54.5,48.94,63.03,45.98,29.37,38.59,27.14,36.94,37.06,35.95,41.21,37.61,35.6,26.98,18.74,46.57,42.98,37.83,35.58,37.12,36.58,28.74,41.65,30.22,47.8,6.24,30.3,31.54,14.96,23.6,34.78,32.56,33.66,28.97,36.15,40.59,27.83
MYCTH_2313362,542.7,517.8,424.23,522.37,438.31,575.08,514.43,447.12,294.1,470.97,696.64,674.52,505.41,454.17,507.18,690.06,864.89,600.39,677.86,607.83,409.65,482.36,518.93,492.39,494.52,762.34,953.06,997.49,792.22,469.43,578.76,648.03,520.96,562.81,298.99,240.89,244.27,259.99,495.68,493.61,713.38,374.14,330.31,396.74,948.13,980.66,1502.66,878.69,812.28,507.07,484.61,606.34,819.83,658.01,682.83,424.18,561.17,582.18,325.5,340.38,367.54,272.29,359.3,459.03,460.82,377.29,472.2,528.74,494.24,578.76,484.56,305.94,330.4,343.33,375.66,487.4,432.89,432.06,430.62,460.86,351.32,345.54,430.04,447.24,363.18,388.32,613.26,457.91,344.46,388.78,425.74,396.58,500.92,660.24,409.65,607.83,610.56,444.48,559.94,283.9,448.95,340.12,346.68,310.19,354.19,299.54,401.06,429.93
MYCTH_2087474,55.08,51.08,34.44,50.14,43.86,48.32,53.72,47.31,46.56,34.92,69.96,79.91,74.29,69.82,69.29,70.07,93.66,61.87,62.54,44.52,83.3,66.77,100.24,107.93,66.66,66.21,125.2,84.58,74.93,42.27,37.59,42.53,98.56,59.2,38.38,29.48,29.07,30.86,95.65,57.84,35.16,31.31,48.58,51.3,135.62,90.22,76.09,46.18,58.89,74.24,79.61,66.6,56.1,76.06,59.12,61.45,66.98,90.28,61.47,39.09,43.02,33.3,42.98,54.64,78.14,65.7,84.24,85.97,93.07,87.12,76.88,46.33,42.98,38.22,41.9,39.92,51.67,30.86,48.38,48.1,29.78,17.02,37.8,43.82,29.18,38.07,84.51,45.65,49.69,47.92,55.34,48.78,58.44,112.78,83.3,44.52,69.96,83.19,74.4,36.49,86.63,42.1,35.24,55.34,50.22,72.69,67.52,62.91
MYCTH_2294730,27.26,21.08,22.22,18.55,29.02,32.14,20.24,23.84,24.72,24.74,19.74,23.74,17.16,23.32,25.08,26.49,33.86,18.75,28.46,42.89,28.65,42.82,31.22,26.26,27.64,41.18,45.1,50.83,76.17,73.71,98.73,92.84,39.35,52.94,54.54,62.58,62.64,70.5,39.03,50.99,48.55,47.8,48.1,36.72,45.29,57.2,58.8,44.77,45.76,31.12,31.07,38.83,40.51,22.25,24.47,14.56,34.55,28.19,16.9,53.89,41.56,36.22,26.04,40.81,26.78,25.87,28.2,28.92,26.64,29.76,34.7,30.21,23.02,28.71,31.92,32.8,29.23,33.3,27.06,30.17,31.62,20.35,33.32,30.7,15.04,18.17,40.5,46.92,41.74,41.9,52.94,39.76,48.12,36.52,28.65,42.89,49.42,21.72,34.66,9.75,22.82,35.39,37.58,23.64,34.26,31.4,31.04,36.38
