gene_id	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8
Mt1	57.52	55.81	49.6	39.54	51.33	42.7	15.42	14.56
Mt2	9.3	13.36	8.27	10.18	11.9	12.86	21.47	36.04
Mt3	108.13	101.9	116.15	146.29	116.6	107.31	87.25	88.36
Mt4	76.33	95.79	46.29	35.71	72.99	56.31	34.84	22.25
Mt5	69.02	73.59	77.02	77.16	68.7	63.95	37.14	39.6
Mt6	12.41	12.45	9.06	14.55	14.17	10.33	11.71	13.15
Mt7	12.67	15.18	13.55	11.27	11.11	9.23	7.39	7.2
Mt8	5.59	6.49	4.6	5.86	9.21	6.8	18.11	13.89
Mt9	7.53	4.26	11.52	5.18	2.26	5.34	5.24	5.14
Mt10	15.8	16.34	6.42	15.15	9.92	4.6	2.42	1.79
Mt11	9.96	14.19	7.49	5.86	10.93	8.68	0.21	6.71
Mt12	20.94	20.63	10.98	10.26	14.36	8.79	13.28	12.75
Mt13	35.06	31.39	45.93	64.6	38.19	40.93	60.69	46.16
Mt14	52.39	50.0	40.26	48.16	52.34	52.58	3.02	4.79
Mt15	41.64	56.1	57.95	70.4	44.05	47.53	38.62	38.12
Mt16	38.88	79.55	52.25	74.32	49.88	42.45	41.09	7.15
Mt17	67.94	58.44	46.16	53.36	41.24	41.6	32.61	24.6
Mt18	75.07	61.01	57.82	61.55	88.33	85.21	84.76	120.97
Mt19	45.97	76.92	76.31	70.34	24.01	26.75	36.27	35.47
Mt20	42.25	35.94	42.17	40.14	18.03	17.1	21.74	38.99
