	log2FoldChange	pvalue
MYCTH_2114025	0.883443441	0.280549506
MYCTH_2293935	1.368111397	0.174060992
MYCTH_2293936	0.134982348	0.84487697
MYCTH_2051335	0.538732399	0.010372809
MYCTH_2121898	0	1
MYCTH_2293939	3.14617998	1.22102E-14
MYCTH_2293942	4.093915401	4.11622E-66
MYCTH_61543	1.179541408	0.028260803
MYCTH_2293944	-0.137086907	0.450234316
MYCTH_98562	-0.436691002	0.122357726
MYCTH_2105956	1.908050377	0.022576722
MYCTH_2293947	0.375667899	0.034589068
MYCTH_2293949	-0.521120608	0.020661979
MYCTH_90655	1.673607561	8.97481E-11
MYCTH_2293953	1.050173993	5.07621E-05
MYCTH_t53	2.218897242	0.231623457
MYCTH_2293954	0.488027417	0.020227687
MYCTH_2049934	0.349835402	0.30121933
MYCTH_2293957	0.433705557	0.031969025
MYCTH_2293959	-1.108064534	1.94758E-06
MYCTH_2293961	0.218141652	0.263984315
MYCTH_2293962	1.841875609	6.90682E-12
MYCTH_2293963	0.222833355	0.551997072
MYCTH_2293965	0.267173176	0.300101592
MYCTH_t52	1.725570809	0.486576137
MYCTH_2293966	0.453885644	0.227298733
MYCTH_2293968	-0.562999095	0.420533698
MYCTH_2293969	-0.896044492	0.000699389
MYCTH_2293970	0.377626111	0.066913153
MYCTH_2293973	-1.364089729	3.26945E-05
MYCTH_2293977	1.007319737	0.079612984
MYCTH_2293982	1.385082446	0.019133865
MYCTH_31411	0.076324769	0.891360048
MYCTH_2293986	-1.115686428	0.00824165
MYCTH_75421	-0.122194309	0.645276904
MYCTH_2293995	0.696121851	3.35976E-05
MYCTH_2293998	-0.500731686	0.029528848
MYCTH_2293999	-0.268152802	0.336901753
MYCTH_2294001	-0.424922939	0.034120476
MYCTH_2294003	-0.233368421	0.172320649
MYCTH_2294005	-1.114034058	0.061776749
MYCTH_2294006	-0.828869014	0.003530404
MYCTH_2294008	-0.384325984	0.061681871
MYCTH_2121938	-0.812038484	5.37016E-05
MYCTH_2294022	-0.678635408	0.000723498
MYCTH_2141262	0.789874288	2.28838E-05
MYCTH_2053489	-0.238076352	0.406384499
MYCTH_2294026	0.781254109	0.004026844
MYCTH_2294033	-0.451744514	0.048198117
MYCTH_2121946	-1.514106749	0.513398272
MYCTH_2294035	1.762102581	1.51615E-09
MYCTH_2294036	-0.330777618	0.172458911
MYCTH_2294037	0.053894165	0.78741161
MYCTH_2294039	-0.707219871	1.1523E-06
MYCTH_2072958	-0.058496905	0.715060745
MYCTH_2313252	-0.635296217	1.50823E-07
MYCTH_2294048	-0.02242961	0.919468078
MYCTH_2294051	0.201501891	0.189301226
MYCTH_2121955	-0.654998654	0.003527675
MYCTH_2294054	-0.448245876	0.051314831
MYCTH_2054076	-1.806919682	0.243565381
MYCTH_2294062	0.90407745	3.45065E-07
MYCTH_2294065	-1.974098698	5.22118E-49
MYCTH_2294067	0.570631271	0.35240169
MYCTH_2085599	-1.072489551	7.74531E-14
MYCTH_2294074	0.614204283	0.001938819
MYCTH_2294077	-0.074659263	0.699305998
MYCTH_2051419	-0.065350851	0.712040032
MYCTH_2294085	0.201837044	0.304644184
MYCTH_2294086	-0.262674062	0.161552515
MYCTH_2054510	0.036690796	0.996707188
MYCTH_2054216	#N/A	#N/A
MYCTH_2052384	#N/A	#N/A
MYCTH_61649	#N/A	#N/A
MYCTH_2052509	#N/A	#N/A
MYCTH_36219	#N/A	#N/A
MYCTH_2294088	0.597767623	0.002456053
MYCTH_2294089	-0.106509369	0.447394345
MYCTH_2294092	-0.085407235	0.725971734
MYCTH_61659	-0.267443645	0.07488662
MYCTH_75490	0.671013777	7.65108E-05
MYCTH_2294099	0.298571323	0.060795619
MYCTH_2294100	-0.015984263	0.9473129
MYCTH_2294101	0.127547479	0.701259112
MYCTH_2141282	-0.578945552	0.190222545
MYCTH_2294104	0.137305555	0.31420876
MYCTH_2313262	0.856634975	8.75449E-07
MYCTH_2294109	-0.986355592	5.61058E-06
MYCTH_2294110	0.173807414	0.364647462
MYCTH_2294115	1.235156284	7.39234E-17
MYCTH_2294116	0.393990142	0.213440008
MYCTH_2294124	0.801325226	0.000101469
MYCTH_2114100	0.1058151	0.808777966
MYCTH_2313270	-2.141538829	2.16018E-06
MYCTH_2136371	-0.604429774	0.016092093
MYCTH_2053555	0.49768996	0.129921761
MYCTH_2294137	-0.842201153	0.000193157
MYCTH_2294138	-0.714263117	4.24772E-05
MYCTH_2294143	0.618712224	6.1322E-06
MYCTH_2294145	0.198953706	0.309662499
MYCTH_2050335	0.37051828	0.29545684
MYCTH_2294147	1.310461153	1.25745E-05
