Geneid,GSM4074527,GSM4074528,GSM4074529,GSM4074530,GSM4074531,GSM4074532,GSM4074533,GSM4074534,GSM4074535,GSM4074536,GSM4074537
MYCTH_2114025,4.92,7.72,8.38,7.09,8.16,8.3,5.78,5.84,4.33,5.72,8.51
MYCTH_2293935,2.97,4.11,2.31,2.89,1.21,1.3,1.61,1.89,1.57,3.26,2.81
MYCTH_2293936,0.94,0.8,0.59,0.43,1.09,0,0,0.74,1.59,1.31,1.5
MYCTH_2051335,12.33,9.43,6.83,8.88,9.91,9.86,6.92,8.09,6.61,7.66,12.79
MYCTH_2121898,0,0,0,0,0,0,0,0,0,0,0
MYCTH_2293939,2.16,2.14,1.18,0.84,3.32,2.88,1.59,1.65,1.2,1.61,0.98
MYCTH_2293942,39.45,47.06,3.67,4.05,2.95,2.86,3.8,3.55,67.68,91.71,29.79
MYCTH_61543,24.18,21.56,23.94,29.85,22.46,19.4,38.5,27.52,17.57,16.24,11.03
MYCTH_2293944,14.66,13.21,37.85,42.46,23.74,24.9,29.21,32.3,34.95,37.52,12.28
MYCTH_98562,14.72,11.87,19.7,17.09,12.32,12.26,7.58,6.81,9.46,11.83,9.54
MYCTH_2105956,0.24,0.17,0.08,0.09,0,0,0.08,0,0.25,0.16,0.08
MYCTH_2293947,20.07,21.34,30.25,31.81,41.91,39.97,31.95,29.35,41.96,39.21,20.21
MYCTH_2293949,6.98,6.24,5.17,6.24,5.04,4.55,4.17,4.42,5.4,6.96,6.72
MYCTH_90655,6.18,5.36,7.94,8.21,6.94,5.39,6.23,5.68,5.65,7.33,5.85
MYCTH_2293953,12.88,11.27,235.06,246.03,72.59,77.45,153.38,172.49,283.87,266.07,8.16
MYCTH_t53,0,0,0,0,0,0.88,0.8,0,0,0,0
MYCTH_2293954,25.24,25.17,24.15,26.71,45.87,46.1,40.04,39.36,50.39,47.8,19.43
MYCTH_2049934,21.99,18.12,16.76,20.47,17.45,14.98,11.37,13.83,10.27,13.37,16.71
MYCTH_2293957,97.83,99.54,93.09,96.17,139.85,132.88,129.46,127.23,154.14,152.52,96.4
MYCTH_2293959,33.6,34.78,30.35,28.3,25.47,27.76,22.61,24,39.98,40.34,34.95
MYCTH_2293961,23.83,22.88,21.46,20.09,19.21,19.02,13.36,13.97,22.72,19.64,26.37
