Geneid,MtFc-1d-1,MtFc-1d-2,MtFc-1d-3,MtFc-2d-1,MtFc-2d-2,MtFc-2d-3,MtFc-3d-1,MtFc-3d-2,MtFc-3d-3,MtGM-1d-1,MtGM-1d-2,MtGM-1d-3,MtGM-2d-1,MtGM-2d-2,MtGM-2d-3
MYCTH_2114025,2.65,4.48,0,2.93,0,5.28,1.52,1.37,2.06,1.95,3.51,2.22,0,0.32,1.51
MYCTH_2293935,0,3.97,10.71,7.53,1.14,5.01,7.36,5.36,14.54,1.77,1.33,0.4,7.22,15.85,7.87
MYCTH_2293936,0,4.8,3.22,11.36,33.76,28.37,15.02,15.67,26.01,2.24,2.38,1.83,40.6,33.92,45.45
MYCTH_2051335,12.97,34.44,26.61,25.31,41.14,17.89,13.96,20.29,14.94,21.53,24.03,22.84,10.39,8.63,9.65
MYCTH_2121898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MYCTH_2293939,32.52,31.45,39.03,5.19,2.78,0,1.99,1.79,2.69,6.68,6.57,7.03,9.5,7.93,4.56
MYCTH_2293942,25.73,76.04,34.76,7.18,14.28,12.61,23.79,24.53,19.1,3.69,4.71,4.63,4.46,3.22,4.07
MYCTH_61543,128.69,172.09,124.77,18.86,12.52,7.97,11.29,13.81,11.97,57.43,54.21,61.56,3.53,5.53,3.68
MYCTH_2293944,24.02,21.81,13.74,11.78,11.29,8.65,15.87,13.55,17.26,32.37,29.73,29.77,6.33,8.79,6.72
MYCTH_98562,15.62,14.41,11.36,94.51,37.06,29.87,67.94,107.02,162.16,39.93,23.31,24.83,30.82,34.54,18.76
MYCTH_2105956,5.73,0,0,4.05,4.28,3.3,0.69,2.6,3.02,0.6,0.54,0.21,2.69,2.91,0.77
MYCTH_2293947,71.62,69.22,62.96,52.45,72.1,64.61,63.72,69.57,69.49,64.1,78.07,74.61,22.9,26.71,24.41
MYCTH_2293949,7.08,9.02,11.03,12.81,10.91,13.94,10.9,12.42,17.39,23.21,20.09,14.73,12.28,9.06,12.35
