ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	category
GO:0003924	GTPase activity	24/646	71/6066	1.23116376517292e-07	1.29272195343156e-05	1.08860796078448e-05	ANI_1_1776014/ANI_1_352154/ANI_1_124/ANI_1_250094/ANI_1_764124/ANI_1_1130024/ANI_1_502184/ANI_1_1614124/ANI_1_584164/ANI_1_824074/ANI_1_110154/ANI_1_600144/ANI_1_582094/ANI_1_354014/ANI_1_264164/ANI_1_478134/ANI_1_1470024/ANI_1_72134/ANI_1_896084/ANI_1_1958024/ANI_1_614094/ANI_1_676124/ANI_1_282134/ANI_1_306014	24	MF
GO:0016887	ATPase activity	31/646	111/6066	2.65249976940984e-07	1.39256237894017e-05	1.17268410858119e-05	ANI_1_1902094/ANI_1_2222094/ANI_1_1288084/ANI_1_266064/ANI_1_2604094/ANI_1_2608024/ANI_1_52134/ANI_1_408024/ANI_1_1124064/ANI_1_836064/ANI_1_1304164/ANI_1_424144/ANI_1_852134/ANI_1_366164/ANI_1_210154/ANI_1_834164/ANI_1_558104/ANI_1_826164/ANI_1_1528144/ANI_1_862064/ANI_1_1212024/ANI_1_1370184/ANI_1_2078144/ANI_1_32124/ANI_1_320094/ANI_1_3092024/ANI_1_764164/ANI_1_1748024/ANI_1_1992024/ANI_1_216024/ANI_1_694164	31	MF
GO:0005525	GTP binding	26/646	88/6066	7.52579722985485e-07	2.6340290304492e-05	2.21812970985196e-05	ANI_1_1776014/ANI_1_352154/ANI_1_124/ANI_1_250094/ANI_1_764124/ANI_1_1130024/ANI_1_502184/ANI_1_1614124/ANI_1_584164/ANI_1_824074/ANI_1_110154/ANI_1_934074/ANI_1_600144/ANI_1_582094/ANI_1_652074/ANI_1_354014/ANI_1_264164/ANI_1_478134/ANI_1_1470024/ANI_1_72134/ANI_1_896084/ANI_1_1958024/ANI_1_614094/ANI_1_676124/ANI_1_282134/ANI_1_306014	26	MF
GO:0003676	nucleic acid binding	45/646	231/6066	3.45189910795752e-05	0.00090612351583885	0.000763051381759032	ANI_1_430184/ANI_1_2142064/ANI_1_2152074/ANI_1_170054/ANI_1_338024/ANI_1_1738024/ANI_1_1264144/ANI_1_1510024/ANI_1_444074/ANI_1_32174/ANI_1_2062024/ANI_1_982134/ANI_1_2080024/ANI_1_296164/ANI_1_2568094/ANI_1_282074/ANI_1_338184/ANI_1_618074/ANI_1_1234074/ANI_1_716144/ANI_1_554034/ANI_1_866134/ANI_1_1062104/ANI_1_2030024/ANI_1_1972094/ANI_1_898024/ANI_1_326024/ANI_1_1230144/ANI_1_1826074/ANI_1_434144/ANI_1_2030144/ANI_1_828094/ANI_1_1490164/ANI_1_1922014/ANI_1_40044/ANI_1_994144/ANI_1_688124/ANI_1_2158064/ANI_1_548124/ANI_1_654084/ANI_1_752144/ANI_1_1952094/ANI_1_878084/ANI_1_660064/ANI_1_1928024	45	MF
GO:0004842	ubiquitin-protein transferase activity	9/646	19/6066	5.75333679393199e-05	0.00120820072672572	0.00101743219092692	ANI_1_212054/ANI_1_168134/ANI_1_386014/ANI_1_2424014/ANI_1_964184/ANI_1_828094/ANI_1_154074/ANI_1_368184/ANI_1_872094	9	MF
GO:0005085	guanyl-nucleotide exchange factor activity	10/646	24/6066	8.54750869687953e-05	0.00149581402195392	0.00125963286059277	ANI_1_304164/ANI_1_898134/ANI_1_450134/ANI_1_410014/ANI_1_1580064/ANI_1_578114/ANI_1_2588094/ANI_1_210054/ANI_1_302164/ANI_1_630064	10	MF
GO:0017056	structural constituent of nuclear pore	6/646	10/6066	0.000205511018581024	0.00308266527871537	0.00259592865576031	ANI_1_1918184/ANI_1_1460094/ANI_1_20124/ANI_1_114184/ANI_1_414074/ANI_1_188064	6	MF
GO:0004672	protein kinase activity	30/646	150/6066	0.000438518473933842	0.00575555497038168	0.00484678313295299	ANI_1_1450164/ANI_1_518154/ANI_1_2808024/ANI_1_1584184/ANI_1_2436074/ANI_1_848014/ANI_1_450074/ANI_1_760064/ANI_1_1236024/ANI_1_114154/ANI_1_808164/ANI_1_184074/ANI_1_1390094/ANI_1_1746014/ANI_1_760134/ANI_1_474134/ANI_1_514114/ANI_1_724184/ANI_1_604074/ANI_1_274154/ANI_1_468074/ANI_1_16044/ANI_1_262024/ANI_1_410094/ANI_1_1978064/ANI_1_544024/ANI_1_986104/ANI_1_1482134/ANI_1_938024/ANI_1_3070024	30	MF
GO:0003723	RNA binding	32/646	167/6066	0.000630816430910525	0.00735952502728946	0.0061974947598227	ANI_1_170054/ANI_1_1646014/ANI_1_1738024/ANI_1_200134/ANI_1_1510024/ANI_1_444074/ANI_1_296164/ANI_1_1462024/ANI_1_338184/ANI_1_618074/ANI_1_716144/ANI_1_848074/ANI_1_554034/ANI_1_2030024/ANI_1_898024/ANI_1_332064/ANI_1_326024/ANI_1_3266014/ANI_1_828094/ANI_1_1922014/ANI_1_994144/ANI_1_494074/ANI_1_688124/ANI_1_918064/ANI_1_2170184/ANI_1_1952094/ANI_1_878084/ANI_1_660064/ANI_1_1928024/ANI_1_348014/ANI_1_922144/ANI_1_1640014	32	MF
GO:0031267	small GTPase binding	6/646	14/6066	0.00201958852900396	0.0212056795545416	0.0178574143617192	ANI_1_386064/ANI_1_776164/ANI_1_1664134/ANI_1_72134/ANI_1_1924184/ANI_1_198064	6	MF
