Name	FC	PValue	Marker
GZMK	2.801954597	9.76E-07	1
PHKB	1.648507909	2.36E-06	1
APOC3	1.94164274	6.34E-06	1
LRP1	1.699034675	1.06E-05	1
SAA4	1.484378473	1.14E-05	1
ALDH18A1	2.403846638	1.81E-05	1
PARP1	1.834445316	2.39E-05	1
MARCKS	1.835472312	3.54E-05	1
STOM	0.445160507	4.21E-05	1
RAP2B	0.510293352	4.31E-05	1
ERP29	0.541183972	6.64E-05	1
P4HB	0.466039797	6.81E-05	1
HRG	1.299991341	9.19E-05	1
RABL6	1.320796397	0.000111241	1
CD47	0.484305586	0.000111557	1
RAB10	0.554909012	0.000159037	1
PRKDC	1.468550132	0.000180744	1
CYB5R3	0.405902695	0.000182617	1
CD59	0.518074535	0.000185724	1
GMPR2	0.411751155	0.000204371	1
KRT24	1.662104136	0.000228381	
PTPN23	1.63887997	0.000238897	
F7	1.358325319	0.000249998	
RAB1B	0.548108363	0.000250254	
HABP2	1.50961169	0.000253852	
TFPI	1.569772106	0.00029724	
VPS26B	1.651252572	0.000299944	
EIF1AX	1.42625806	0.000312165	
CPB2	1.857465999	0.000328232	
RP2	0.481578764	0.0003316	
PI4KA	1.383725834	0.000392091	
PLG	1.410151731	0.000392299	
PLEC	1.458919552	0.000453685	
ILF2	1.495527094	0.000473739	
MPP1	0.475216176	0.000493968	
APOF	1.495805838	0.000547436	
ILF3	1.511018586	0.000557921	
RAB5C	0.598966054	0.000666951	
SLC2A1	0.401220854	0.00078081	
CANX	0.428146871	0.000797363	
AQP1	0.52851763	0.000800182	
BSG	0.63337239	0.000812804	
GNLY	1.874301618	0.000822263	
RARRES2	1.549912219	0.000853144	
RBM3	1.436830944	0.000885992	
WFDC5	1.459048121	0.000891535	
GANAB	0.633261953	0.000899348	
IGHV3-73	1.603130582	0.000960749	
PRSS3	1.31192483	0.001112218	
DMKN	1.398222873	0.001177172	
GRSF1	2.08415411	0.001200606	
HLA-DRA	0.737197436	0.00122551	
SFRP1	1.393694786	0.001336204	
C4BPB	1.400212102	0.001422432	
RPS14	1.630343264	0.001483117	
DOCK11	1.416456483	0.001506444	
HS3ST3B1	1.502144948	0.001568269	
APOH	0.647741503	0.001589943	
GPX1	0.635422367	0.001590903	
C4BPA	1.383995833	0.001682361	
KRAS	0.686387677	0.001688987	
APOC2	1.538879397	0.001737496	
LCAT	1.445352814	0.001819298	
CARHSP1	0.624861453	0.001868011	
CRISPLD1	1.503280543	0.001927403	
ALDH16A1	1.582627006	0.001929858	
ANG	1.454466132	0.001937655	
ATP6AP2	1.43351286	0.001978525	
APOE	1.567717608	0.002016521	
MST1	1.310026721	0.00210494	
PRDX2	0.581081632	0.002121466	
SMIM1	0.624583753	0.002124075	
HNRNPM	1.38762475	0.002125933	
SLC44A2	0.664214924	0.002200119	
RPL10L	1.750023118	0.002211912	
CRH	0.381807587	0.002223079	
PDIA3	0.517612721	0.002223493	
SEC22B	0.450444887	0.002250798	
IHH	1.46418602	0.002283858	
ANGPTL3	1.525153607	0.002393681	
RIPOR3	2.274879159	0.002400364	
VCP	0.658277168	0.002406587	
HSPA8	0.639112006	0.002456806	
KALRN	1.241033909	0.002484553	
NRAS	0.778457933	0.002493157	
GLIPR2	0.655479301	0.002508756	
PRKCSH	0.430023584	0.00254393	
ETF1	2.343571422	0.002684566	
TMED8	1.592959465	0.002723703	
RNASE1	1.55046752	0.002763516	
EPB42	0.3214283	0.002796219	
CAND1	1.348098273	0.002827302	
CFHR1	1.646156979	0.002843059	
RCC2	1.925829456	0.002846924	
CDKL3	1.236474353	0.002868493	
ANK1	0.283567626	0.002884089	
SLC4A1	0.282762632	0.003035082	
VPS13A	0.526216364	0.003176961	
TRIM23	0.811256416	0.003221913	
RAB1A	0.618262922	0.003303317	
MAP2	1.27373276	0.003416021	
CRISPLD2	1.724500328	0.00342766	
ERP44	0.566726826	0.003484348	
HSPG2	1.297155308	0.003588727	
TLN2	0.175032124	0.003594081	
HDGF	1.193609203	0.003790421	
CLDN3	0.209626639	0.003838299	
HSPA5	0.731410408	0.003872185	
DSC3	1.463994386	0.003880286	
RAB7A	0.584140357	0.004020591	
NID1	1.411436877	0.004104183	
SH3PXD2A	1.225651598	0.004362247	
PCCA	1.387639442	0.004365656	
GNG5	0.633922684	0.00442939	
VTN	1.499580342	0.004459294	
PRNP	1.239001811	0.004673089	
IDH2	0.459155262	0.004841576	
APP	1.456943427	0.004914038	
TMEM212	1.621009916	0.005047939	
PCYOX1	1.364967456	0.005050262	
ADD2	1.419229991	0.00513031	
PLCB2	1.23514941	0.005140086	
GRK2	1.49306565	0.005157077	
F11R	0.569139208	0.005206805	
GYPA	0.372223502	0.0052234	
GDF15	1.484317861	0.005262891	
KRT4	4.757827938	0.005389603	
STXBP3	0.675782801	0.005424226	
PRG4	1.717672637	0.005609402	
PROS1	1.35826028	0.005640708	
STAM	1.303829391	0.00565337	
IDH1	1.361739697	0.005686663	
CNDP1	1.523699674	0.005696978	
PRSS1	1.260465178	0.006099384	
APMAP	2.274119891	0.006198591	
COPA	0.224006601	0.00627117	
ATP13A1	1.713047453	0.006317155	
SLMAP	1.613671512	0.006408251	
GYPC	0.524634086	0.006525968	
RAB21	0.540641183	0.006868667	
TPM3	0.411036343	0.006991365	
HOOK3	11.90291743	0.007121557	
PSMA6	1.372648484	0.007163292	
EXOC3L4	1.399304711	0.007224875	
AK3	1.827134107	0.007252628	
DMTN	0.446967158	0.007268511	
ATP2B4	0.662157626	0.007498782	
OAF	1.71737937	0.007694398	
NAPA	0.608640374	0.007783832	
PRDX4	0.670638801	0.007840212	
APOB	1.385290153	0.007987907	
SPTB	0.395540995	0.00802965	
SYPL1	0.636049539	0.00822999	
CHCHD2	2.038590043	0.00827691	
TPM2	0.387635944	0.008313605	
ASL	1.404776772	0.008658072	
CTSC	0.674954666	0.008693566	
GNAI2	0.652792596	0.008812574	
CD44	0.576332775	0.008855071	
SPON1	1.481124407	0.0089217	
APOC1	1.342916639	0.008966807	
YARS1	1.226495952	0.009022031	
SERPINF1	1.298822612	0.009155779	
DSC1	1.499913937	0.009253582	
HLA-B	0.602074058	0.009359568	
ADSL	1.421997934	0.009667527	
POR	1.438119307	0.009680657	
USP9X	1.296762361	0.00970918	
GTF2F2	1.39668579	0.009898361	
HNRNPH3	1.315553199	0.009913702	
CLTC	0.746205885	0.009983156	
ENPP2	2.127447959	0.010086813	
FLOT1	0.48217693	0.010529237	
MTPN	1.202347683	0.010576211	
ADAM10	0.622130785	0.010695872	
TJP2	1.314527613	0.010721627	
FLOT2	0.471536531	0.01085266	
IGFBP3	1.484854951	0.010862739	
RHAG	0.257957288	0.010979823	
TUBA4A	0.427649314	0.011110568	
PLAT	1.986267756	0.011143584	
LSM12	1.392695011	0.011217159	
PI3	1.887228988	0.011254639	
SF3B1	0.48993722	0.011531164	
RAB11B	0.588207539	0.011542743	
GP5	0.526229184	0.011597502	
SUB1	1.41803417	0.011710858	
ELAVL1	1.218174833	0.01175308	
TUBB4B	0.403818938	0.012006428	
SERPINA5	1.512378152	0.012073601	
CDH1	1.250306909	0.012168592	
SPP2	1.431874569	0.012208443	
KRT2	3.256961995	0.012262406	
THSD4	1.29671561	0.012274407	
ATP2A3	0.376379638	0.012327818	
MYL12B	0.388080876	0.012454615	
IDE	1.323332291	0.012766054	
SLC2A3	0.537687355	0.012785104	
SULF2	1.853362412	0.012865658	
EEFSEC	0.680658836	0.012879552	
TNXB	1.55644164	0.012903673	
GNB1	0.622562713	0.013091374	
KNG1	1.250895834	0.013160677	
SOST	1.411694318	0.013363881	
S100A8	1.979357794	0.013607796	
PNP	0.609536119	0.01366283	
TUBB	0.394599924	0.013698477	
CDK16	1.173495662	0.013713795	
ITGA2B	0.469221056	0.013986868	
TMED10	0.698539579	0.014047684	
UTRN	1.57260917	0.014069981	
ALPL	1.269182305	0.014436692	
PTPRN2	1.320107908	0.014444633	
SPTA1	0.485602864	0.014513043	
AP1G1	1.348972946	0.014523264	
CD151	0.519675819	0.014663432	
PDIA4	7.276294968	0.014702283	
ALMS1	1.361335723	0.014895379	
MYL6	0.369963886	0.014928207	
RAP1A	0.614759119	0.015019348	
COL4A2	1.620865339	0.015113672	
CAT	0.69538012	0.015179846	
ITGB3	0.474674067	0.015296268	
PLCB4	1.340004918	0.015505016	
FRZB	1.364605385	0.015667987	
HNRNPAB	1.780579947	0.015774133	
SVIP	0.439999438	0.015997931	
TUBA1C	0.406147964	0.016072237	
DARS1	1.219451567	0.016074054	
HLA-F	0.445492378	0.01621468	
RAC1	0.787926799	0.016233052	
ATP1A1	0.753886082	0.016497076	
MYH9	0.362579882	0.016517193	
F9	1.254629725	0.016699373	
KRTDAP	1.585433217	0.016893814	
MGLL	0.484732372	0.017105151	
ECPAS	1.409406632	0.017486566	
KLKB1	1.305000823	0.017533761	
PRKAR2A	1.374609337	0.017621339	
LTBP2	1.241892442	0.017977183	
KRT10	2.298610237	0.018000884	
ACTA1	0.500492386	0.018215116	
GALE	1.490683342	0.018229303	
LAMP2	0.681937184	0.018246521	
POTEKP	0.519514955	0.018342656	
APOA2	1.234707553	0.018445973	
NCSTN	0.578685624	0.018524541	
NDNF	1.298934715	0.018818365	
ERBIN	0.658695619	0.019009733	
MIF	0.561861766	0.01903411	
SNAP23	0.522929355	0.019101581	
FCER1G	0.629131415	0.019163293	
HSP90B1	0.72893085	0.019185479	
APOA4	1.543944195	0.01924568	
CLEC3B	1.591644719	0.019261953	
EFEMP1	1.336161015	0.019423268	
RAB13	0.678860755	0.020366492	
TPP1	0.510914505	0.020420491	
LOX	1.483820106	0.020535949	
TOMM22	1.372016987	0.020551077	
ACTB	0.439840696	0.020603763	
GNB2	0.642325776	0.020859031	
CAPZA1	0.612085458	0.020878467	
C4A	1.418190414	0.02098118	
ATP5MG	0.463744714	0.020986066	
USP15	1.404346704	0.020996526	
MMP14	1.380737611	0.021129539	
SACM1L	0.699326329	0.021329078	
CCL22	1.328964569	0.021380215	
CTDSP1	0.591832654	0.021612711	
FLNA	0.411758421	0.021742841	
PDIA5	1.307718911	0.021847363	
APOM	1.247805437	0.022039699	
TPM1	0.460148492	0.022071458	
OLA1	1.311893644	0.022111683	
ACTA2	0.42753571	0.022271696	
TMPRSS11D	1.260963553	0.022425395	
IGLV2-18	3.327475073	0.022490531	
EPB41	0.51789173	0.022561743	
ITGB1	0.595538076	0.022674363	
FGFBP2	1.324606749	0.022815326	
TMOD1	0.426208053	0.023110649	
SLC25A5	0.570073964	0.023451541	
LSR	1.568383426	0.023505569	
IGLV1-40	1.201123686	0.023652313	
IGF1	1.525802784	0.023958919	
TCN2	1.506195937	0.023981705	
RASGRP2	0.436748612	0.024100951	
CPXM2	1.415956371	0.024311565	
IGFBP7	1.300229961	0.024795333	
CFH	1.234527206	0.02527746	
TUBB1	0.42982548	0.025296481	
TMEM109	0.453387895	0.025418261	
ACTN1	0.503586157	0.025536132	
CAPZB	0.638773586	0.025613372	
HLA-A	0.670616122	0.026035094	
MTM1	1.326699615	0.02612509	
TNFSF13	1.425186685	0.026141105	
CD82	0.651729457	0.026176066	
LNPEP	0.509764797	0.026657492	
ETFA	1.545695326	0.026684587	
CD9	0.561863105	0.026829782	
CISD2	0.510595068	0.0270066	
ACTG1	0.454145667	0.027358739	
MYH11	0.370923971	0.027558459	
TPM4	0.395595514	0.027633094	
COL11A2	0.697877576	0.027796377	
MPIG6B	0.558736548	0.028117676	
CSNK1A1	0.702773425	0.028250605	
FBLN5	1.301636167	0.028268861	
SEC11A	0.486059783	0.028582191	
WARS1	2.736134464	0.028700875	
RAB6B	0.663821894	0.028777394	
TMEM50A	0.618859305	0.029081837	
CASS4	1.312751647	0.029875056	
POTEI	0.496885889	0.030168024	
ATP2A2	0.510144986	0.03067784	
TBC1D20	1.349618225	0.030743602	
VDAC3	0.44394413	0.030771931	
SERPINA10	1.44048976	0.030785005	
RHD	0.415432515	0.031299286	
PTGDS	1.317619688	0.031310905	
IGKJ1	5.469588837	0.031312176	
ARL6IP5	0.419598479	0.031599545	
MENT	1.419922086	0.032138691	
GP1BA	0.418733046	0.032221585	
SLPI	1.341621541	0.032298098	
PBXIP1	1.281610152	0.03230298	
FER	1.409764	0.032942481	
PECAM1	0.517583566	0.033199502	
PARVB	0.529424817	0.033282135	
ACTR3	0.510619712	0.033555522	
KLK14	1.58781733	0.033724721	
RPN1	0.629576024	0.033807003	
STX7	0.655975069	0.033892348	
