Symbol	logFC	P.Value
LTB	2.580830574	1.17e-14
SNORD116-2	3.139661776	2.15e-12
SNORD90	4.285534102	6.12e-12
CD48	1.8697202	1.89e-11
TNFSF10	3.044122513	3.87e-11
SHCBP1	-1.764536246	7.34e-11
CENTD1	3.840179499	1.23e-10
FBXO30	2.632198292	1.78e-10
SCMH1	2.534410245	2.81e-10
PLEC1	2.046811325	4.21e-10
C3orf65	2.486153394	5.1e-10
BAT1	1.659285974	6.52e-10
WDR4	-1.310110292	8.66e-10
WBP5	2.732004269	9.91e-10
C1orf27	2.935836151	1.25e-09
C7orf43	1.810778464	1.65e-09
SNX10	3.18236194	2e-09
PREX2	2.624955415	2.32e-09
PTTG3P	-1.2886861	2.74e-09
MN1	1.650245511	3.06e-09
DVL2	1.567126145	3.45e-09
PDXDC2	2.412685822	3.84e-09
PFDN5	1.184332	4.11e-09
KIF16B	2.899153367	4.83e-09
AES	2.650892668	5.43e-09
BMP6	2.636175343	6.09e-09
HLA-C	3.623823362	7.5e-09
TP53INP1	1.694127564	8.74e-09
ACSF2	2.784113269	9.73e-09
GABBR1	2.564331292	1.07e-08
ZNF655	2.146976359	1.19e-08
SCFD1	2.600587841	1.4e-08
ASGR1	2.290184317	1.6e-08
TTC14	2.681213309	1.81e-08
MAN1A1	2.467221656	1.97e-08
SNORA11	2.322649296	2.14e-08
WSB1	1.069996842	2.37e-08
MALT1	2.26037905	2.55e-08
TM2D1	2.591118647	2.78e-08
SNORD60	2.401728236	3.1e-08
TMED7	2.64503761	3.41e-08
STARD4	2.224089317	3.83e-08
ACE	1.496120153	4.14e-08
FAM98A	1.571431616	4.5e-08
AGL	2.390643324	4.85e-08
ARL4A	2.628451682	5.52e-08
LRP1	2.439869094	5.85e-08
WBP2	1.07050078	6.29e-08
SKP1	2.011967001	6.59e-08
DCBLD2	3.336851659	7.09e-08
IFNAR2	1.890839122	7.36e-08
AIF1	1.649946816	7.98e-08
HOXA9	2.269711736	8.43e-08
DKFZP564O0523	2.586508268	8.96e-08
PTPRE	1.73773728	9.5e-08
C7orf23	1.55543335	1e-07
BARD1	-1.138523468	1.05e-07
CFI	2.365700077	1.15e-07
CLEC3B	2.456871624	1.23e-07
C10orf84	-2.455492056	1.3e-07
SOCS2	1.31095286	1.36e-07
USP16	1.976526816	1.45e-07
PRKACB	2.048330831	1.53e-07
CES8	2.267740546	1.6e-07
SKA2	2.023151069	1.68e-07
ABT1	1.720885211	1.79e-07
C6orf173	-0.943950518	1.88e-07
HNRPK	2.341759444	1.95e-07
RORA	2.77182728	2.03e-07
ZMYM5	1.715306173	2.14e-07
TBC1D9B	1.97326931	2.27e-07
SPI1	2.192249768	2.4e-07
TINP1	2.051366765	2.6e-07
CDC37L1	2.374142546	2.7e-07
NCK2	1.776392793	2.87e-07
SNORD33	1.011008212	3.02e-07
RRAS2	1.963799455	3.12e-07
HTATIP2	2.166712034	3.26e-07
ZNF322A	2.551239821	3.39e-07
NLRX1	1.54439703	3.57e-07
C2orf49	2.350654597	3.69e-07
TUBG1	-1.54953068	3.81e-07
TNFRSF10A	1.910839237	3.97e-07
SNORD95	1.362838182	4.16e-07
SNORD30	1.054145772	4.43e-07
PHKB	-1.338589404	4.61e-07
TCEAL1	2.313689413	4.82e-07
ZNF420	2.049235053	5.16e-07
SUOX	2.187122572	5.33e-07
NCOA1	1.99786673	5.51e-07
AKAP9	1.557356132	5.72e-07
SPAG7	-0.62642844	5.88e-07
NPTN	1.2737521	6.17e-07
TOR1AIP1	1.945674881	6.36e-07
APP	1.74116347	6.5e-07
ZFP90	1.910009457	6.83e-07
UBE4A	1.922064852	6.98e-07
MAP1LC3A	1.859494781	7.24e-07
CHRM2	0.92492989	7.61e-07
ANXA11	1.245175488	8.05e-07
TSPAN6	2.140353161	8.33e-07
ERCC5	1.150226024	8.72e-07
HNRPUL1	1.068511212	9.06e-07
IKBIP	1.695968872	9.46e-07
PPT1	2.036619824	9.86e-07
FAM117B	1.743688084	1.04e-06
CALCOCO1	1.663606106	1.09e-06
PPP4R1	1.900010343	1.15e-06
CHD3	2.128223441	1.19e-06
RIF1	2.048953579	1.22e-06
TTRAP	2.379111073	1.26e-06
ARPP19	1.859807386	1.3e-06
ANKRD28	2.063169085	1.34e-06
SUMF2	2.098393493	1.37e-06
RPS6KA2	2.584718394	1.42e-06
WSB2	1.780065508	1.45e-06
CDH26	2.007622152	1.48e-06
ADPRHL2	1.676094258	1.54e-06
POT1	1.912650133	1.57e-06
LST1	2.356768127	1.62e-06
COL8A1	2.048648381	1.67e-06
HNRPH3	2.404410221	1.74e-06
C6orf48	1.072662832	1.83e-06
SMARCA2	2.19318383	1.93e-06
KRI1	-1.373627026	1.97e-06
MAP3K7IP2	1.959372032	2.06e-06
CKAP5	-0.61549399	2.12e-06
STARD10	2.431080625	2.19e-06
GPS2	1.441476665	2.28e-06
MYL12A	1.084308856	2.33e-06
MRPL12	-0.627321844	2.4e-06
