ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	category
GO:0016616	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	6/348	23/4195	0.00935133513087911	0.776160815862966	0.776160815862966	MYCTH_98562/MYCTH_2295290/MYCTH_114008/MYCTH_110317/MYCTH_2295514/MYCTH_2313529	6	MF
GO:0003899	DNA-directed 5'-3' RNA polymerase activity	4/348	15/4195	0.0304775986715818	0.899670388325228	0.899670388325228	MYCTH_2294525/MYCTH_2294589/MYCTH_2295109/MYCTH_2039938	4	MF
GO:0005525	GTP binding	12/348	90/4195	0.0663830909715726	0.899670388325228	0.899670388325228	MYCTH_2293949/MYCTH_2293959/MYCTH_113715/MYCTH_2294321/MYCTH_2313362/MYCTH_2141486/MYCTH_2075102/MYCTH_2313446/MYCTH_2295204/MYCTH_2295275/MYCTH_2295289/MYCTH_2295498	12	MF
GO:0030246	carbohydrate binding	4/348	19/4195	0.0666539402317567	0.899670388325228	0.899670388325228	MYCTH_2294427/MYCTH_2087807/MYCTH_99077/MYCTH_2295445	4	MF
GO:0003924	GTPase activity	9/348	64/4195	0.079527920690952	0.899670388325228	0.899670388325228	MYCTH_2293949/MYCTH_2293959/MYCTH_113715/MYCTH_2294321/MYCTH_2141486/MYCTH_2075102/MYCTH_2295204/MYCTH_2295289/MYCTH_2295498	9	MF
GO:0004674	protein serine/threonine kinase activity	4/348	22/4195	0.103677582556086	0.899670388325228	0.899670388325228	MYCTH_2294039/MYCTH_61755/MYCTH_2295173/MYCTH_2295177	4	MF
GO:0008017	microtubule binding	3/348	14/4195	0.103928565834824	0.899670388325228	0.899670388325228	MYCTH_2293965/MYCTH_2141282/MYCTH_2294655	3	MF
GO:0035091	phosphatidylinositol binding	3/348	14/4195	0.103928565834824	0.899670388325228	0.899670388325228	MYCTH_2293999/MYCTH_2294115/MYCTH_2294684	3	MF
GO:0003755	peptidyl-prolyl cis-trans isomerase activity	3/348	15/4195	0.122291307625634	0.899670388325228	0.899670388325228	MYCTH_2294210/MYCTH_2294621/MYCTH_2313485	3	MF
GO:0016620	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor	3/348	17/4195	0.162112306727581	0.899670388325228	0.899670388325228	MYCTH_2294077/MYCTH_76126/MYCTH_41800	3	MF
GO:0000287	magnesium ion binding	5/348	38/4195	0.203467808322274	0.899670388325228	0.899670388325228	MYCTH_2294267/MYCTH_2294522/MYCTH_2295040/MYCTH_2295290/MYCTH_2295514	5	MF
GO:0042626	ATPase-coupled transmembrane transporter activity	4/348	29/4195	0.216307436408308	0.899670388325228	0.899670388325228	MYCTH_2294223/MYCTH_2294268/MYCTH_2294448/MYCTH_2106260	4	MF
