Keywords,Publication Year
"Biomolecules, Myceliophthora thermophila, Sporotrichum thermophile, thermophilic mould, biotechnological applications, hydrolytic enzymes",2016
"N-acetylglucosamine, enzymes, growth kinetics, logistic model, solid-state cultivation",2021
"CAZy, Myceliophthora thermophila, biofuels, lignocellulolytic enzymes, plant biomass",2014
"Active site segment, LPMOs, Lignocellulose, Mass spectrometric fragmentation, Oxidative cleavage, Reduction, Xyloglucan",2022
"Cellulose degradation, Myceliophthora thermophila, Pentose catabolism, Xylan degradation, Xylanolytic regulator",2019
"CRISPR-Cas9, Cellulases, Mtalp1, Myceliophthora thermophila, Protease",2020
"Myceliophthora thermophila, genome-scale metabolic model, thermophilic fungi, transcriptomics",2022
"Alkalistable, Cellulose saccharification, Extremozyme, Recombinant cellobiohydrolase, Solvent tolerance, Thermostable cellulose",2021
"Biomass, Cellulose degradation, Cellulose hydrolysis, Cellulose oxidation, Myceliophthora thermophila, Secretome composition",2016
"Biochemicals, C4-diacid, CRISPR/Cas9, Consolidated bioprocessing, Myceliophthora thermophila",2020
"Myceliophthora, galactose transport, galactose utilization, metabolic engineering, transcriptomic profiles",2021
"Crystallization, Deep eutectic solvent, Laccase",2021
"ER stress, MtHAC-1, MtTRC-1, Mtcbh-1, Myceliophthora thermophila, cellulase production, thermophilic fungi, transcription factor",2022
"CRISPR/Cas9 system, MtCLR-2, Myceliophthora thermophila, base editing, cellulase, cytosine base editor, precise engineering",2022
"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase, Myceliophthora thermophila, filamentous fungi, glycolysis, metabolic engineering, metabolic regulation",2022
"3D protein structure, Cellulases, cellobiose, homology modelling, molecular docking, beta-glucosidase",2022
"Cellulase, cellulose saccharification, glucose and ethanol tolerance, thermostable, beta-glucosidase",2023
"1,2,4-Butanetriol, D-Xylose, D-Xylose dehydrogenase, Myceliophthora, Weimberg pathway",2023
"Cellulase, MD simulation, molecular docking, principal component analysis (PCA), structure modelling, thermostability",2022
