PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
36843006,Effective production of kojic acid in engineered Aspergillus niger,"Wu L, Zhang L, Li X, Lv R, Cao W, Gao W, Liu J, Xie Z, Liu H.",Microb Cell Fact. 2023 Feb 27;22(1):40. doi: 10.1186/s12934-023-02038-w.,Wu L,Microb Cell Fact,2023,2023/2/27,PMC9969635,,10.1186/s12934-023-02038-w
37316742,"The α-(1,3)-glucan synthase gene agsE impacts the secretome of Aspergillus niger","Lyu J, Torchia C, Post H, Moran Torres JP, Altelaar AFM, de Cock H, Wösten HAB.",Antonie Van Leeuwenhoek. 2023 Sep;116(9):867-882. doi: 10.1007/s10482-023-01853-w. Epub 2023 Jun 14.,Lyu J,Antonie Van Leeuwenhoek,2023,2023/6/14,PMC10371888,,10.1007/s10482-023-01853-w
37603446,Core-Shell Droplet-Based Microfluidic Screening System for Filamentous Fungi,"Zhang C, Wu X, Song F, Liu S, Yu S, Zhou J.",ACS Sens. 2023 Sep 22;8(9):3468-3477. doi: 10.1021/acssensors.3c01018. Epub 2023 Aug 21.,Zhang C,ACS Sens,2023,2023/8/21,,,10.1021/acssensors.3c01018
36830558,Identification of an l-Arabitol Transporter from Aspergillus niger,"Meng J, Mäkelä MR, de Vries RP.",Biomolecules. 2023 Jan 17;13(2):188. doi: 10.3390/biom13020188.,Meng J,Biomolecules,2023,2023/2/25,PMC9953744,,10.3390/biom13020188
36527445,Removal of orange G dye by Aspergillus niger and its effect on organic acid production,"Lira Pérez J, Rodríguez Vázquez R.",Prep Biochem Biotechnol. 2023;53(7):860-871. doi: 10.1080/10826068.2022.2153368. Epub 2022 Dec 17.,Lira Pérez J,Prep Biochem Biotechnol,2023,2022/12/17,,,10.1080/10826068.2022.2153368
36608576,"A contrast of Pb(II), Cd(II), and Cu(II) toxicities to Aspergillus niger through biochemical, morphological, and genetic investigations","Zhang L, Yang X, Li S, Tang L, Chen T, Gu T, Chen G, Gadd GM, Li Z.",J Hazard Mater. 2023 Mar 15;446:130691. doi: 10.1016/j.jhazmat.2022.130691. Epub 2022 Dec 28.,Zhang L,J Hazard Mater,2023,2023/1/6,,,10.1016/j.jhazmat.2022.130691
37486124,Non-homologous end-joining-deficient filamentous fungal strains mitigate the impact of off-target mutations during the application of CRISPR/Cas9,"Garrigues S, Peng M, Kun RS, de Vries RP.",mBio. 2023 Aug 31;14(4):e0066823. doi: 10.1128/mbio.00668-23. Epub 2023 Jul 24.,Garrigues S,mBio,2023,2023/7/24,PMC10470509,,10.1128/mbio.00668-23
37399977,Functional analysis of the protocatechuate branch of the β-ketoadipate pathway in Aspergillus niger,"Sgro M, Chow N, Olyaei F, Arentshorst M, Geoffrion N, Ram AFJ, Powlowski J, Tsang A.",J Biol Chem. 2023 Aug;299(8):105003. doi: 10.1016/j.jbc.2023.105003. Epub 2023 Jul 1.,Sgro M,J Biol Chem,2023,2023/7/3,PMC10406623,,10.1016/j.jbc.2023.105003
37032362,A newly constructed Agrobacterium-mediated transformation system based on the hisB auxotrophic marker for genetic manipulation in Aspergillus niger,"Thai HD, Do LTBX, Nguyen XT, Vu TX, Tran HTT, Nguyen HQ, Tran VT.",Arch Microbiol. 2023 Apr 9;205(5):183. doi: 10.1007/s00203-023-03530-y.,Thai HD,Arch Microbiol,2023,2023/4/9,,,10.1007/s00203-023-03530-y
37050031,Optimization of Medium Constituents for the Production of Citric Acid from Waste Glycerol Using the Central Composite Rotatable Design of Experiments,"Książek EE, Janczar-Smuga M, Pietkiewicz JJ, Walaszczyk E.",Molecules. 2023 Apr 6;28(7):3268. doi: 10.3390/molecules28073268.,Książek EE,Molecules,2023,2023/4/13,PMC10096785,,10.3390/molecules28073268
36864487,Purification and characterization of aspartic protease from Aspergillus niger and its efficient hydrolysis applications in soy protein degradation,"Wei M, Chen P, Zheng P, Tao X, Yu X, Wu D.",Microb Cell Fact. 2023 Mar 3;22(1):42. doi: 10.1186/s12934-023-02047-9.,Wei M,Microb Cell Fact,2023,2023/4/13,PMC9983247,,10.1186/s12934-023-02047-9
37128145,Assessing three industrially produced fungi for the bioremediation of diclofenac,"Blanco-Orta MF, García-de la Cruz RF, Paz-Maldonado LMT, Pedraza-González DA, Morales-Avila MM, Balderas-Hernández VE, González-Ortega O, Pérez-Martínez AS.",J Environ Sci Health A Tox Hazard Subst Environ Eng. 2023;58(7):661-670. doi: 10.1080/10934529.2023.2206353. Epub 2023 May 1.,Blanco-Orta MF,J Environ Sci Health A Tox Hazard Subst Environ Eng,2023,2023/5/2,,,10.1080/10934529.2023.2206353
36985405,Fungal Secondary Metabolites/Dicationic Pyridinium Iodide Combinations in Combat against Multi-Drug Resistant Microorganisms,"Abdelalatif AM, Elwakil BH, Mohamed MZ, Hagar M, Olama ZA.",Molecules. 2023 Mar 7;28(6):2434. doi: 10.3390/molecules28062434.,Abdelalatif AM,Molecules,2023,2023/3/29,PMC10058977,,10.3390/molecules28062434
37446690,Novel Design of an α-Amylase with an N-Terminal CBM20 in Aspergillus niger Improves Binding and Processing of a Broad Range of Starches,"Sidar A, Voshol GP, Vijgenboom E, Punt PJ.",Molecules. 2023 Jun 27;28(13):5033. doi: 10.3390/molecules28135033.,Sidar A,Molecules,2023,2023/7/14,PMC10343422,,10.3390/molecules28135033
37257743,Bioremediation efficiency of free and immobilized form of Aspergillus niger and Aspergillus tubigenesis biomass on tannery effluent,"Chau TP, Bulgariu L, Saravanan M, Rajkumar R, Chinnathambi A, Salmen SH, Jhanani GK.",Environ Res. 2023 Aug 15;231(Pt 3):116275. doi: 10.1016/j.envres.2023.116275. Epub 2023 May 29.,Chau TP,Environ Res,2023,2023/5/31,,,10.1016/j.envres.2023.116275
37175138,"Microbial Transformation of the Sesquiterpene Lactone, Vulgarin, by Aspergillus niger","ElGamal RA, Galala AA, Abdel-Kader MS, Badria FA, Soliman AF.",Molecules. 2023 Apr 26;28(9):3729. doi: 10.3390/molecules28093729.,ElGamal RA,Molecules,2023,2023/5/13,PMC10180108,,10.3390/molecules28093729
36629410,"Heterogeneity in Spore Aggregation and Germination Results in Different Sized, Cooperative Microcolonies in an Aspergillus niger Culture","Lyu J, Tegelaar M, Post H, Moran Torres J, Torchia C, Altelaar AFM, Bleichrodt RJ, de Cock H, Lugones LG, Wösten HAB.",mBio. 2023 Feb 28;14(1):e0087022. doi: 10.1128/mbio.00870-22. Epub 2023 Jan 11.,Lyu J,mBio,2023,2023/1/11,PMC9973262,,10.1128/mbio.00870-22
36656535,Colorimetric Detection of Metals Using CdS-NPs Synthesized by an Organic Extract of Aspergillus niger,"Loa JDA, Cruz-Rodríguez IA, Rojas-Avelizapa NG.",Appl Biochem Biotechnol. 2023 Jul;195(7):4148-4163. doi: 10.1007/s12010-023-04341-z. Epub 2023 Jan 19.,Loa JDA,Appl Biochem Biotechnol,2023,2023/1/19,,,10.1007/s12010-023-04341-z
36994584,[Expression of β-glucosidase An-bgl3 from Aspergillus niger for conversion of scopolin],"Yu K, Peng C, Lin Y, Li L, Ni H, Li Q.",Sheng Wu Gong Cheng Xue Bao. 2023 Mar 25;39(3):1232-1246. doi: 10.13345/j.cjb.220709.,Yu K,Sheng Wu Gong Cheng Xue Bao,2023,2023/3/30,,,10.13345/j.cjb.220709
