gene_id,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8
Mt1,57.52,55.81,49.6,39.54,51.33,42.7,15.42,14.56
Mt2,9.3,13.36,8.27,10.18,11.9,12.86,21.47,36.04
Mt3,108.13,101.9,116.15,146.29,116.6,107.31,87.25,88.36
Mt4,76.33,95.79,46.29,35.71,72.99,56.31,34.84,22.25
Mt5,69.02,73.59,77.02,77.16,68.7,63.95,37.14,39.6
Mt6,12.41,12.45,9.06,14.55,14.17,10.33,11.71,13.15
Mt7,12.67,15.18,13.55,11.27,11.11,9.23,7.39,7.2
Mt8,5.59,6.49,4.6,5.86,9.21,6.8,18.11,13.89
Mt9,7.53,4.26,11.52,5.18,2.26,5.34,5.24,5.14
Mt10,15.8,16.34,6.42,15.15,9.92,4.6,2.42,1.79
Mt11,9.96,14.19,7.49,5.86,10.93,8.68,2.76,6.71
Mt12,20.94,20.63,10.98,10.26,14.36,8.79,13.28,12.75
Mt13,35.06,31.39,45.93,64.6,38.19,40.93,60.69,46.16
Mt14,52.39,50,40.26,48.16,52.34,52.58,3.02,4.79
Mt15,41.64,56.1,57.95,70.4,44.05,47.53,38.62,38.12
Mt16,38.88,79.55,52.25,74.32,49.88,42.45,41.09,7.15
Mt17,67.94,58.44,46.16,53.36,41.24,41.6,32.61,24.6
Mt18,75.07,61.01,57.82,61.55,88.33,85.21,84.76,120.97
Mt19,45.97,76.92,76.31,70.34,24.01,26.75,36.27,35.47
Mt20,42.25,35.94,42.17,40.14,18.03,17.1,21.74,38.99
Mt21,21.32,11.34,18.63,17.33,9.7,8.45,7.87,3.51
Mt22,5.83,20.45,18.93,21.29,4.74,3.71,3.36,7.69
Mt23,51.95,75.7,77.54,69.62,67.62,63.39,62.57,51.79
Mt24,811.84,325.94,443.47,397.66,897.46,871.62,756.72,354.1
Mt25,18.87,23.86,22.86,22.46,15.45,16.93,17.21,11.24
Mt26,32.18,24.03,28.09,19.72,45.37,44.47,56.34,27.39
Mt27,38.28,30.41,32.78,34.38,29.27,33.72,34.78,42.16
Mt28,5.07,21.74,23.01,20.53,5.98,6.86,10.85,12.03
Mt29,70.25,67.54,61.69,33.87,35.58,38.99,33.02,47.56
