reactionid,equation,flux
R2,R2: glc__D_c --> 0.67 BDGLC_c + 0.33 Glc_aD_c,5.841252079678396
R6,R6_num1: BDGLC_c + atp_c --> adp_c + g6p_B_c + h_c,3.9136388933845265
R7,R7: g6p_B_c --> f6p_c,3.913638893384526
R9,R9: h_c + pyr_c --> acald_c + co2_c,18.721545919379533
R21,R21_num1: h_c + nadh_c + nh4_c + pyr_c --> ala__L_c + h2o_c + nad_c,0.29880536017370274
R22,R22_num1: BCCP_c + atp_c + co2_c + h2o_c --> adp_c + carP_c + 2.0 h_c + pi_c,0.27814670409278136
R24,R24: h2o_c + pap_c --> amp_c + pi_c,0.00447335119763065
R25,R25: 0.2619 atp_c + 0.0187 damp_c + 0.01982 dcmp_c + 0.01982 dgmp_c + 0.0187 dtmp_c + 0.1849 h2o_c --> DNA_c + 0.2619 adp_c + 0.2619 pi_c,0.30850697914693914
R40,R40: 2pg_c --> h2o_c + pep_c,21.661591145043246
R42,R42_num1: 3pg_c --> 2pg_c,21.66159114504325
R46,R46: coa_m + nad_m + pyr_m --> accoa_m + co2_m + h_m + nadh_m,1.5465145732523025
R50,R50: g3p_c + nad_c + pi_c --> 13dpg_c + h_c + nadh_c,21.86541416625507
R51,R51: 13dpg_c + adp_c --> 3pg_c + atp_c,21.865414166255068
R53,R53_num1: R5P_c + atp_c --> amp_c + h_c + prpp_c,0.08373965358614849
R54,R54: ru5p__D_c --> xu5p__D_c,0.36058488989770165
R55,R55: g6p_c + nadp_c --> 6pgl_c + h_c + nadph_c,0.6649388506072059
R60,R60: 6pgl_c + h2o_c --> 6pgc_c + h_c,0.6649388506072058
R61,R61: R5P_c + xu5p__D_c --> g3p_c + s7p_c,0.22061430712335578
R62,R62_num1: g3p_c + s7p_c --> e4p_c + f6p_c,0.22061430712335578
R74,R74: g1p_c + h_c + utp_c --> ppi_c + udpg_c,0.35340927467452266
R104,R104: mal__L_m + nad_m --> h_m + nadh_m + oaa_m,1.2171628889615256
R107,R107: atp_c + co2_c + h2o_c + pyr_c --> adp_c + 2.0 h_c + oaa_c + pi_c,0.5772932536309354
R108,R108: atp_m + co2_m + h2o_m + pyr_m --> adp_m + 2.0 h_m + oaa_m + pi_m,0.10645539185711375
R109,R109: fum_m + h2o_m --> mal__L_m,0.30601837674895516
R111,R111: q_m + succ_m --> fum_m + qh2_m,0.19120275345193813
R115,R115: atp_c + cit_c + coa_c --> accoa_c + adp_c + oaa_c + pi_c,0.6250804277642471
R117,R117_num1: icit_m + nad_m --> akg_m + co2_m + nadh_m,0.3880271977986505
R128,R128: ala__L_c + glx_c --> gly_c + pyr_c,0.1705590089423201
R134,R134_num1: f6p_c + gln__L_c --> gam6p_c + glu__L_c,0.11667886106979357
R144,R144: asp__L_c + atp_c + nh4_c --> amp_c + asn__L_c + h_c + ppi_c,0.06614389632910375
R145,R145: akg_c + gln__L_c + h_c + nadh_c --> 2.0 glu__L_c + nad_c,1.5409525510983835
R151,R151: acgam1p_c + h_c + utp_c --> ppi_c + uacgam_c,0.11667886106979355
R159,R159: acgam6p_c --> acgam1p_c,0.11667886106979355
R165,R165_num1: TRNA_c + ala__L_c + atp_c --> TRNAALA_c + amp_c + ppi_c,0.12824635123138264
R169,R169_num1: TRNA_c + asn__L_c + atp_c --> TRNAASN_c + amp_c + ppi_c,0.06614389632910375
R171,R171: TRNA_c + arg__L_c + atp_c --> TRNAARG_c + amp_c + ppi_c,0.08354368995299112
R173,R173: TRNA_c + atp_c + cys__L_c --> TRNACYS_c + amp_c + ppi_c,0.001635086989478778
R177,R177_num1: TRNA_c + atp_c + ser__L_c --> TRNASER_c + amp_c + ppi_c,0.08360539134882052
R178,R178: TRNA_c + atp_c + gly_c --> TRNAGLY_c + amp_c + ppi_c,0.0983211742541295
R181,R181: TRNA_c + atp_c + his__L_c --> TRNAHIS_c + amp_c + ppi_c,0.02270611366521472
R182,R182_num1: TRNA_c + atp_c + ile__L_c --> TRNAILE_c + amp_c + ppi_c,0.06204075350644947
R189,R189_num1: TRNA_c + atp_c + tyr__L_c --> TRNATYR_c + amp_c + ppi_c,0.00724991400995307
R192,R192: TRNA_c + atp_c + phe__L_c --> TRNAPHE_c + amp_c + ppi_c,0.053433408788249856
R210,R210: akg_c + orn__L_c --> glu5sa_c + glu__L_c,0.07166617125583397
R214,R214: glu5sa_c --> 1pyr5c_c + h2o_c + h_c,0.07166617125583397
R215,R215_num1: 1pyr5c_c + 2.0 h_c + nadph_c --> nadp_c + pro__L_c,0.07166617125583398
R235,R235: cbp_m + orn_m --> citr__L_m + h_m + pi_m,0.08354368995299113
R238,R238_num1: acg5p_m + h_m + nadph_m --> acg5sa_m + nadp_m + pi_m,0.15520986120882507
R244,R244: argsuc_c --> arg__L_c + fum_c,0.08354368995299113
R255,R255_num1: 2.0 atp_m + hco3_m + nh4_m --> 2.0 adp_m + cbp_m + 2.0 h_m + pi_m,0.10418743446260914
R302,R302: C180ACP_c + h_c + nadph_c + o2_c --> C181ACP_c + 2.0 h2o_c + nadp_c,0.022476692695743657
R303,R303: C181ACP_c + h_c + nadph_c + o2_c --> C182ACP_c + 2.0 h2o_c + nadp_c,0.011507666204725726
R351,R351: e4p_c + xu5p__D_c --> f6p_c + g3p_c,0.13997058277434588
R395,R395_num1: accoa_c + hom__L_c --> achms_c + coa_c,0.0028382642081518413
R398,R398: achms_c + h2s_c --> ac_c + h_c + hcys__L_c,0.0028382642081518413
R400,R400_num1: atp_c + h2o_c + met__L_c --> amet_c + pi_c + ppi_c,0.019377631867198396
R401,R401: ahcys_c + h2o_c --> adn_c + hcys__L_c,0.019377631867198396
R402,R402: h2s_c + pser__L_c --> cys__L_c + pi_c,0.20382302121181767
R431,R431: 5mthf_c + hcys__L_c --> met__L_c + thf_c,0.02221589607535024
R441,R441: h_c + pphn_c --> co2_c + h2o_c + phpyr_c,0.05343340878824987
R504,R504_num1: C18HACP_c --> C18DACP_c + h2o_c,0.02505535277650705
R505,R505_num1: C18DACP_c + h_c + nadph_c --> C180ACP_c + nadp_c,0.02505535277650705
R512,R512_num1: ACP_c + ppcoa_c --> PROPACP_c + coa_c,0.0001493790793029479
R517,R517: PROPACP_c + 2.0 h_c + malACP_c + 2.0 nadph_c --> ACP_c + C50ACP_c + co2_c + h2o_c + 2.0 nadp_c,0.0001493790793029479
R522,R522: C50ACP_c + 3.0 h_c + malACP_c + 2.0 nadph_c --> ACP_c + C70ACP_c + co2_c + h2o_c + 2.0 nadp_c,0.00014937907930294794
R527,R527: C70ACP_c + 3.0 h_c + malACP_c + 2.0 nadph_c --> ACP_c + C90ACP_c + co2_c + h2o_c + 2.0 nadp_c,0.00014937907930294794
R532,R532: C90ACP_c + 3.0 h_c + malACP_c + 2.0 nadph_c --> ACP_c + C110ACP_c + co2_c + h2o_c + 2.0 nadp_c,0.00014937907930294794
R537,R537: C110ACP_c + 3.0 h_c + malACP_c + 2.0 nadph_c --> ACP_c + C130ACP_c + co2_c + h2o_c + 2.0 nadp_c,0.00014937907930294794
R542,R542: C130ACP_c + 3.0 h_c + malACP_c + 2.0 nadph_c --> ACP_c + C150ACP_c + co2_c + h2o_c + 2.0 nadp_c,0.00014937907930294794
R547,R547: C150ACP_c + 3.0 h_c + malACP_c + 2.0 nadph_c --> ACP_c + C170ACP_c + co2_c + h2o_c + 2.0 nadp_c,0.00014937907930294794
R583,R583_num1: C171ACP_c + coa_c --> ACP_c + C171COA_c,0.00014937907930294794
R584,R584_num1: C180ACP_c + coa_c --> ACP_c + stcoa_c,0.0003025453902819037
R585,R585_num1: C181ACP_c + coa_c --> ACP_c + ocdce9coa_c,8.168987151529715e-05
R615,R615: C01241_c + amet_c --> C04308_c + ahcys_c + h_c,0.0028620192455461545
R616,R616: C04308_c + amet_c --> ahcys_c + h_c + pcholho_c_c,0.002862019245546154
R617,R617: MIPC_c + gdpmann_c --> DMIPC_c + gdp_c + h_c,3.0498999958466407e-05
R619,R619_num1: accoa_c + carP_c --> BCCP_c + malcoa_c,0.27814670409278136
R731,R731: f6p_c + h_c + nadh_c --> mnl1p_c + nad_c,0.015456199655261649
R784,R784: udpgal_c --> udpgalfur_c,0.0036251266838150673
R802,R802: icit_m + nadp_m --> akg_m + co2_m + nadph_m,0.13995164631342139
R835,R835: dhap_c + h_c + nadh_c --> glyc3p_c + nad_c,0.018401164087221256
R844,R844: PCPE_c + amet_c --> C01241_c + ahcys_c + h_c,0.0028620192455461545
R846,R846_num1: CLCDPDG_c + glyc3p_c --> cmp_c + h_c + pgp_EC_c,0.0012465532999411226
R847,R847: h2o_c + pgp_EC_c --> pglycho_c_c + pi_c,0.0012465532999411226
R848,R848: CLCDPDG_c + pglycho_c_c --> clpnho_c_c + cmp_c,0.0012465532999411226
