reactionid,equation,flux
R2,R2: glc__D_c --> 0.67 BDGLC_c + 0.33 Glc_aD_c,5.658729433861211
R6_num1,R6_num1: BDGLC_c + atp_c --> adp_c + g6p_B_c + h_c,3.7913487206870107
R7,R7: g6p_B_c --> f6p_c,3.7913487206870102
R9,R9: h_c + pyr_c --> acald_c + co2_c,18.21557263162972
R21_num1,R21_num1: h_c + nadh_c + nh4_c + pyr_c --> ala__L_c + h2o_c + nad_c,0.27641911229682653
R22_num1,R22_num1: BCCP_c + atp_c + co2_c + h2o_c --> adp_c + carP_c + 2.0 h_c + pi_c,0.2573081854653432
R24,R24: h2o_c + pap_c --> amp_c + pi_c,0.004138211464219277
R25,R25: 0.2619 atp_c + 0.0187 damp_c + 0.01982 dcmp_c + 0.01982 dgmp_c + 0.0187 dtmp_c + 0.1849 h2o_c --> DNA_c + 0.2619 adp_c + 0.2619 pi_c,0.285393894084088
R35_num1,R35_num1: h_c + nadh_c + pyr_c --> lac__L_c + nad_c,0.8644765123357123
R36_num1,R36_num1: adp_c + h_c + pep_c --> atp_c + pyr_c,20.9122003539473
R40,R40: 2pg_c --> h2o_c + pep_c,21.11223012888886
R42_num1,R42_num1: 3pg_c --> 2pg_c,21.112230128888857
R46,R46: coa_m + nad_m + pyr_m --> accoa_m + co2_m + h_m + nadh_m,1.4306509938241905
R50,R50: g3p_c + nad_c + pi_c --> 13dpg_c + h_c + nadh_c,21.30078289968344
R51,R51: 13dpg_c + adp_c --> 3pg_c + atp_c,21.30078289968344
R53_num1,R53_num1: R5P_c + atp_c --> amp_c + h_c + prpp_c,0.07746594871949178
R54,R54: ru5p__D_c --> xu5p__D_c,0.22734821931384977
R55,R55: g6p_c + nadp_c --> 6pgl_c + h_c + nadph_c,0.45578925964705724
R60,R60: 6pgl_c + h2o_c --> 6pgc_c + h_c,0.4557892596470572
R61,R61: R5P_c + xu5p__D_c --> g3p_c + s7p_c,0.15097509161371517
R62_num1,R62_num1: g3p_c + s7p_c --> e4p_c + f6p_c,0.15097509161371517
R74,R74: g1p_c + h_c + utp_c --> ppi_c + udpg_c,0.3269321471549464
R104,R104: mal__L_m + nad_m --> h_m + nadh_m + oaa_m,0.9490960595373065
R107,R107: atp_c + co2_c + h2o_c + pyr_c --> adp_c + 2.0 h_c + oaa_c + pi_c,0.5340429255045526
R108,R108: atp_m + co2_m + h2o_m + pyr_m --> adp_m + 2.0 h_m + oaa_m + pi_m,0.2753578458111305
R109,R109: fum_m + h2o_m --> mal__L_m,0.10621373274936072
R115,R115: atp_c + cit_c + coa_c --> accoa_c + adp_c + oaa_c + pi_c,0.5782499244868569
R117_num1,R117_num1: icit_m + nad_m --> akg_m + co2_m + nadh_m,0.020148808922337183
R128,R128: ala__L_c + glx_c --> gly_c + pyr_c,0.15778087052607134
R134_num1,R134_num1: f6p_c + gln__L_c --> gam6p_c + glu__L_c,0.10793737830528771
R144,R144: asp__L_c + atp_c + nh4_c --> amp_c + asn__L_c + h_c + ppi_c,0.061188450891628464
R145,R145: akg_c + gln__L_c + h_c + nadh_c --> 2.0 glu__L_c + nad_c,1.4255056737219223
R151,R151: acgam1p_c + h_c + utp_c --> ppi_c + uacgam_c,0.10793737830528771
R159,R159: acgam6p_c --> acgam1p_c,0.10793737830528771
R169_num1,R169_num1: TRNA_c + asn__L_c + atp_c --> TRNAASN_c + amp_c + ppi_c,0.061188450891628464
R171,R171: TRNA_c + arg__L_c + atp_c --> TRNAARG_c + amp_c + ppi_c,0.077284666517971
R173,R173: TRNA_c + atp_c + cys__L_c --> TRNACYS_c + amp_c + ppi_c,0.0015125876386456662
R177_num1,R177_num1: TRNA_c + atp_c + ser__L_c --> TRNASER_c + amp_c + ppi_c,0.07734174529678785
R178,R178: TRNA_c + atp_c + gly_c --> TRNAGLY_c + amp_c + ppi_c,0.09095503404459881
R181,R181: TRNA_c + atp_c + his__L_c --> TRNAHIS_c + amp_c + ppi_c,0.02100499060458887
R182_num1,R182_num1: TRNA_c + atp_c + ile__L_c --> TRNAILE_c + amp_c + ppi_c,0.05739271210031009
R189_num1,R189_num1: TRNA_c + atp_c + tyr__L_c --> TRNATYR_c + amp_c + ppi_c,0.0067067565109760665
R192,R192: TRNA_c + atp_c + phe__L_c --> TRNAPHE_c + amp_c + ppi_c,0.049430222455364034
R210,R210: akg_c + orn__L_c --> glu5sa_c + glu__L_c,0.06629700159573362
R214,R214: glu5sa_c --> 1pyr5c_c + h2o_c + h_c,0.06629700159573362
R215_num1,R215_num1: 1pyr5c_c + 2.0 h_c + nadph_c --> nadp_c + pro__L_c,0.06629700159573362
R235,R235: cbp_m + orn_m --> citr__L_m + h_m + pi_m,0.077284666517971
R238_num1,R238_num1: acg5p_m + h_m + nadph_m --> acg5sa_m + nadp_m + pi_m,0.14358166811370465
R240_num1,R240_num1: acorn_m + glu__L_m --> acglu_m + orn_m,0.14358166811370465
R244,R244: argsuc_c --> arg__L_c + fum_c,0.07728466651797102
R255_num1,R255_num1: 2.0 atp_m + hco3_m + nh4_m --> 2.0 adp_m + cbp_m + 2.0 h_m + pi_m,0.09638179894060733
R302,R302: C180ACP_c + h_c + nadph_c + o2_c --> C181ACP_c + 2.0 h2o_c + nadp_c,0.020792757662426775
R303,R303: C181ACP_c + h_c + nadph_c + o2_c --> C182ACP_c + 2.0 h2o_c + nadp_c,0.010645521469458515
R351,R351: e4p_c + xu5p__D_c --> f6p_c + g3p_c,0.0763731277001346
R395_num1,R395_num1: accoa_c + hom__L_c --> achms_c + coa_c,0.002625623825573607
R398,R398: achms_c + h2s_c --> ac_c + h_c + hcys__L_c,0.0026256238255736065
R400_num1,R400_num1: atp_c + h2o_c + met__L_c --> amet_c + pi_c + ppi_c,0.01792587588131565
R401,R401: ahcys_c + h2o_c --> adn_c + hcys__L_c,0.017925875881315646
R402,R402: h2s_c + pser__L_c --> cys__L_c + pi_c,0.1885527707945834
R431,R431: 5mthf_c + hcys__L_c --> met__L_c + thf_c,0.020551499706889256
R441,R441: h_c + pphn_c --> co2_c + h2o_c + phpyr_c,0.04943022245536404
R504_num1,R504_num1: C18HACP_c --> C18DACP_c + h2o_c,0.023178226684888448
R512_num1,R512_num1: ACP_c + ppcoa_c --> PROPACP_c + coa_c,0.0001381877235155154
R517,R517: PROPACP_c + 2.0 h_c + malACP_c + 2.0 nadph_c --> ACP_c + C50ACP_c + co2_c + h2o_c + 2.0 nadp_c,0.0001381877235155154
R522,R522: C50ACP_c + 3.0 h_c + malACP_c + 2.0 nadph_c --> ACP_c + C70ACP_c + co2_c + h2o_c + 2.0 nadp_c,0.0001381877235155154
R527,R527: C70ACP_c + 3.0 h_c + malACP_c + 2.0 nadph_c --> ACP_c + C90ACP_c + co2_c + h2o_c + 2.0 nadp_c,0.0001381877235155154
R532,R532: C90ACP_c + 3.0 h_c + malACP_c + 2.0 nadph_c --> ACP_c + C110ACP_c + co2_c + h2o_c + 2.0 nadp_c,0.0001381877235155154
R537,R537: C110ACP_c + 3.0 h_c + malACP_c + 2.0 nadph_c --> ACP_c + C130ACP_c + co2_c + h2o_c + 2.0 nadp_c,0.0001381877235155154
R542,R542: C130ACP_c + 3.0 h_c + malACP_c + 2.0 nadph_c --> ACP_c + C150ACP_c + co2_c + h2o_c + 2.0 nadp_c,0.0001381877235155154
R547,R547: C150ACP_c + 3.0 h_c + malACP_c + 2.0 nadph_c --> ACP_c + C170ACP_c + co2_c + h2o_c + 2.0 nadp_c,0.0001381877235155154
R583_num1,R583_num1: C171ACP_c + coa_c --> ACP_c + C171COA_c,0.0001381877235155154
R584_num1,R584_num1: C180ACP_c + coa_c --> ACP_c + stcoa_c,0.0002798789424748071
R585_num1,R585_num1: C181ACP_c + coa_c --> ACP_c + ocdce9coa_c,7.556973460841972e-05
R615,R615: C01241_c + amet_c --> C04308_c + ahcys_c + h_c,0.0026475991554180843
R616,R616: C04308_c + amet_c --> ahcys_c + h_c + pcholho_c_c,0.0026475991554180843
R617,R617: MIPC_c + gdpmann_c --> DMIPC_c + gdp_c + h_c,2.821404036915294e-05
R619_num1,R619_num1: accoa_c + carP_c --> BCCP_c + malcoa_c,0.2573081854653431
R731,R731: f6p_c + h_c + nadh_c --> mnl1p_c + nad_c,0.014298234093612805
R784,R784: udpgal_c --> udpgalfur_c,0.0033535352221297802
