reaction,flux
R1,2.964360604
R9,0.096006819
R16,2.218936962
R17,2.856826973
R21,0.473109288
R24,0.002995796
R25,0.206606593
R40,4.081177648
R42,4.081177648
R43,1.611237171
R46,1.877186651
R50,4.081177648
R51,4.081177648
R53,0.070239052
R54,1.720032228
R55,2.66948941
R60,2.66948941
R61,0.887019596
R62,0.887019596
R74,0.236677583
R87,0.006357285
R108,1.632544351
R111,0.601271776
R112,0.214048848
R115,0.420516067
R118,0.214048848
R128,0.387222928
R134,0.078139632
R144,0.044296454
R145,0.895473345
R151,0.078139632
R159,0.078139632
R169,0.044296454
R171,0.055949065
R173,0.001095015
R178,0.065845521
R181,0.015206245
R184,0.044234472
R185,0.082394709
R192,0.035784262
R210,0.047994712
R214,0.047994712
R235,0.055949065
R239,0.103943777
R244,0.055949065
R255,0.069774146
R302,0.015052602
R303,0.007706664
R351,0.833012632
R398,0.001900781
R401,0.012977167
R431,0.014877947
R441,0.035784262
R471,0.02411351
R476,0.02411351
R481,0.02411351
R486,0.02411351
R491,0.02411351
R496,0.02411351
R501,0.02411351
R506,0.016779527
R517,0.000100039
R522,0.000100039
R527,0.000100039
R532,0.000100039
R537,0.000100039
R542,0.000100039
R547,0.000100039
R615,0.001916689
R616,0.001916689
R617,2.04E-05
R642,0.043362592
R731,0.01035099
R761,0.006357285
R784,0.002427741
R802,0.567635371
R824,0.005332447
R830,0.001495047
R834,2.856726934
R835,2.864389242
R844,0.001916689
R847,0.000834815
R848,0.000834815
R851,0.00051445
R866,0.078139632
R880,0.096006819
R894,0.001095015
R903,0.001900781
R904,0.001900781
R915,0.001900781
R922,2.04E-05
R936,0.007227099
R939,0.015206245
R940,0.015206245
R941,0.015206245
R942,0.015206245
R943,0.015206245
R944,0.015206245
R946,0.015206245
R947,0.015206245
R977,0.000287981
R1004,0.066878554
R1005,0.066878554
R1006,0.066878554
R1013,0.066878554
R1015,0.066878554
R1016,0.066878554
R1036,1.623560399
R1106,0.042569305
R1122,1.538791917
R1171,0.000100039
R1188,0.035784262
R1195,0.054006963
R1199,0.054006963
R1200,0.054006963
R1201,0.054006963
R1202,0.040639517
R1203,0.004855255
R1205,0.013367447
R1206,0.013367447
R1207,0.013367447
R1269,0.01368153
R1270,0.01368153
R1271,0.01368153
R1272,0.01368153
R1273,0.01368153
R1274,0.01368153
R1275,0.028887775
R1276,1.157128384
R1278,0.003863543
R1282,0.004094943
R1284,0.004094943
R1285,0.004094943
R1295,0.007801465
R1298,0.007801465
R1313,0.001141489
R1318,0.007801465
R1321,0.012977167
R1345,0.007801465
R1367,0.02108631
R1368,0.02108631
R1369,0.002995796
R1370,0.01368153
R1371,0.028887775
R1372,0.002995796
R1375,0.01382508
R1376,0.01382508
R1377,0.011407576
R1380,0.007544033
R1383,0.004094943
R1384,0.003863543
R1391,0.01382508
R1392,0.002493742
R1393,0.006357285
R1411,0.004094943
R1414,0.003863543
R1444,0.003863543
R1461,0.003863543
R1505,0.018912768
R1518,0.000118536
R1520,3.08E-05
R1521,7.28E-05
R1523,3.08E-05
R1524,0.000100039
R1526,1.54E-05
R1527,1.54E-05
R1528,1.54E-05
R1529,1.54E-05
R1530,4.38E-05
R1531,4.38E-05
R1532,2.10E-05
R1533,2.10E-05
R1534,2.29E-05
R1535,2.29E-05
R1536,5.00E-05
R1537,5.00E-05
R1538,5.01E-05
R1539,5.01E-05
R1543,0.044234472
R1568,0.046899697
R1569,0.046899697
R1583,0.130616688
R1584,0.018637981
R1597,0.236677583
R1598,2.964360604
R1603,0.007227099
R1604,0.007227099
R1605,0.007227099
R1606,0.007227099
R1607,0.007227099
R1608,0.007227099
R1609,0.007227099
R1610,0.007227099
