Geneid,C_1,C_2,C_3,T_1,T_2,T_3
MYCTH_2312856,1144,1731,1482,4998,7312,6275
MYCTH_2312859,69,116,109,97,117,117
MYCTH_2312860,626,952,880,3741,5382,4093
MYCTH_2072388,2456,4240,4395,2129,2653,2171
MYCTH_2312863,1145,1742,1270,7328,10275,8065
MYCTH_2312865,540,864,785,1080,1271,1288
MYCTH_2312869,1989,3097,3099,12178,15657,12810
MYCTH_2312871,160,279,167,762,1141,672
MYCTH_2312875,10,6,12,23,12,12
MYCTH_2312876,18,8,13,1,4,0
MYCTH_2312878,109,177,130,16,8,15
MYCTH_t185,0,0,1,0,0,0
MYCTH_2312881,58,81,44,20,33,28
MYCTH_2312882,700,1229,1004,834,1148,904
MYCTH_2312885,109,193,177,344,614,522
MYCTH_2072543,465,692,593,3876,4978,4379
MYCTH_2113877,78,133,88,189,311,276
MYCTH_96478,15,18,29,5000,5881,5344
MYCTH_2312891,369,507,426,882,1139,1063
MYCTH_t186,0,2,9,2,4,3
MYCTH_2316740,8580,14775,13717,13903,16790,14268
MYCTH_2029356,13,42,12,20,14,7
MYCTH_2312896,1161,1901,1668,6036,8964,7599
MYCTH_2312897,683,994,686,6663,8709,6497
MYCTH_2121768,498,770,829,87,116,89
MYCTH_2312900,2115,3628,3267,921,1328,1097
MYCTH_96470,98,128,129,422,447,417
MYCTH_2312902,621,958,841,3636,4274,3437
MYCTH_2312904,564,764,804,1913,2155,1883
MYCTH_2312905,429,729,664,1232,1568,1221
MYCTH_2312908,1207,1835,1793,3493,4980,3783
MYCTH_2312913,2053,3144,3319,3873,4720,3913
MYCTH_2312918,145,271,226,3513,3761,2921
MYCTH_2085328,354,686,606,435,442,405
MYCTH_2131203,1,0,3,6,4,7
MYCTH_t189,0,0,0,0,0,0
MYCTH_2312925,392,564,671,411,489,398
MYCTH_71660,0,0,2,0,0,4
MYCTH_2312927,3,10,8,302,334,284
MYCTH_2136257,71,110,86,1521,2147,1751
MYCTH_2131210,0,2,2,7,3,0
MYCTH_2312931,18,17,21,21,38,25
MYCTH_2312932,1644,2638,2723,3275,4064,3586
MYCTH_2312934,260,460,439,971,1255,894
MYCTH_2312937,474,830,773,737,914,811
MYCTH_2312940,2675,4150,3792,12247,15467,11923
MYCTH_2312941,122,192,162,466,666,487
MYCTH_2312943,3187,5152,4163,13316,17763,13859
MYCTH_2312947,10866,18833,18752,14770,19293,17636
MYCTH_2312949,893,1391,1419,2298,2987,2539
MYCTH_t188,0,0,0,2,0,0
MYCTH_2131220,23,39,51,11,17,12
MYCTH_2312952,130,275,185,661,1027,793
MYCTH_112411,3345,5579,5515,6607,8182,7017
MYCTH_2070850,67,109,52,70,86,61
MYCTH_2316753,33883,57583,52594,120621,156063,138809
MYCTH_71631,15170,24558,24502,24668,30862,26397
MYCTH_2312962,9949,17172,17477,26127,33182,28006
MYCTH_2312964,705,1152,1132,1126,1518,1286
MYCTH_2131229,5,8,2,0,0,0
MYCTH_2312966,1690,2848,2756,3171,4539,3868
MYCTH_2312967,350,612,520,836,939,1044
MYCTH_2312968,1286,1773,1670,4195,5950,4846
MYCTH_2071510,516,849,750,1632,2115,1716
MYCTH_2312975,315,572,575,840,1010,879
MYCTH_2312977,276,426,371,692,911,709
MYCTH_2121801,1,13,2,9,6,2
MYCTH_2071955,11,12,6,8,10,15
MYCTH_2312981,53,86,72,153,100,70
MYCTH_19035,527,852,577,3784,5017,4234
MYCTH_56717,106,146,182,123,161,112
MYCTH_2312984,94,138,119,192,235,158
MYCTH_2131244,59,124,121,77,84,35
MYCTH_2312987,32,97,62,122,173,128
MYCTH_71609,0,0,0,0,0,0
MYCTH_2312992,164,262,237,231,302,251
MYCTH_2113928,52,108,105,70,78,91
MYCTH_2312994,583,972,830,4996,5209,3493
MYCTH_103867,29,30,45,24,30,36
MYCTH_2312998,714,1135,1143,1193,1609,1250
MYCTH_2313004,432,758,828,426,506,391
MYCTH_2313005,519,892,743,8767,8523,6776
MYCTH_2313008,27,45,32,10,18,14
MYCTH_2313009,115,215,163,351,420,253
MYCTH_2145809,529,725,688,1453,2073,1723
MYCTH_2313013,289,337,235,464,597,312
MYCTH_2313014,7419,12046,10473,2725,3394,2060
MYCTH_96419,10,18,41,5,18,10
MYCTH_112399,60,133,120,2256,2999,2223
MYCTH_2313019,13,49,30,671,1016,606
MYCTH_2131264,1,4,4,2,4,4
MYCTH_2313022,227,338,229,458,631,601
MYCTH_2313023,22,32,28,16,6,12
MYCTH_117150,1665,2692,2883,848,1186,977
MYCTH_2313029,3215,5409,5198,3879,4948,4370
MYCTH_2313031,163,271,236,26,67,64
MYCTH_2313032,2,2,3,17,6,8
MYCTH_2313034,12,23,27,6,2,6
MYCTH_96411,9,13,36,1,0,2
MYCTH_2313036,256,390,401,516,647,519
MYCTH_2313038,538,783,664,1726,2127,1671
MYCTH_2313040,15810,26421,28086,2658,2873,1804
MYCTH_117146,2914,4385,3904,1150,1580,1211
MYCTH_2313063,156,298,199,500,636,598
MYCTH_2313064,683,1065,996,778,1104,917
MYCTH_2313065,844,1394,1304,2892,3085,2807
MYCTH_117145,649,1049,1082,1364,1670,1518
MYCTH_2313070,161,324,211,3836,3463,2457
MYCTH_2313072,3689,5890,6425,6250,7883,6259
MYCTH_2313073,1227,1723,1605,8821,11681,9284
MYCTH_2313074,573,1021,910,1973,2600,2437
MYCTH_2113962,89,168,133,1196,1508,1287
MYCTH_2131293,0,2,0,0,0,0
MYCTH_71551,72,122,130,76,84,69
MYCTH_2313078,512,907,789,574,820,557
