PMID	Title	Keywords	Journal	Institution	Country	Year
37977536	Laccase-mediated degradation of petroleum hydrocarbons in historically contaminated soil.	"Bioremediation, Laccase, Polyaromatic hydrocarbons"	Chemosphere	"Institute of Environmental Biotechnology, University of Natural Resources and Life Sciences (BOKU), Tulln, Austria."	Austria	2024
37354337	Trichoderma longibrachiatum and thermothelomyces thermophilus co-culture: improvement the saccharification profile of different sugarcane bagasse varieties.	"Co-culture, Saccharification, Sugarcane bagasse, Thermothelomyces thermophilus, Trichoderma longibrachiatum"	Biotechnology letters	"Departamento de Bioquimica e Imunologia, Faculdade de Medicina de Ribeirao Preto, Universidade de Sao Paulo, Ribeirao Preto, SP, Brazil."	Brazil	2023
37869709	"Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus."	"Clr, Myceliophthora thermophila, Thermothelomyces thermophilus, cellulases, gene regulation, lignocellulolytic enzymes, transcription factors, transcriptomics"	Frontiers in bioengineering and biotechnology	"Chair of Applied and Molecular Microbiology, Institute of Biotechnology, Technische Universitat Berlin, Berlin, Germany."	Germany	2023
36916669	"Biocatalytic stereoselective synthesis of pyrrolidine-2,3-diones containing all-carbon quaternary stereocenters."		Organic & biomolecular chemistry	"Department of Organic Chemistry, Shahid Beheshti University, 1983969411 Tehran, Iran. Z_habibi@sbu.ac.ir."	Iran	2023
36966330	The arabinose transporter MtLat-1 is involved in hemicellulase repression as a pentose transceptor in Myceliophthora thermophila.	"Hemicellulase, L-Arabinose transport, MtAra-1, MtLat-1, Myceliophthora, Signal transduction, Transceptor"	Biotechnology for biofuels and bioproducts	"Key Laboratory of Engineering Biology for Low-carbon Manufacturing, Tianjin Institute of Industrial Biotechnology, Chinese Academy of Sciences, Tianjin, 300308, China."	China	2023
37359531	Preclinical immunogenicity and protective efficacy of a SARS-CoV-2 RBD-based vaccine produced with the thermophilic filamentous fungal expression system Thermothelomyces heterothallica C1.	"C1, SARS-CoV-2, Thermothelomyces heterothallica, filamentous fungus, hamster, receptor-binding domain, vaccine"	Frontiers in immunology	"Research Center for Emerging Infections and Zoonoses, University of Veterinary Medicine Hannover, Foundation, Hannover, Germany."	Germany	2023
37348810	Consolidated bioprocessing for bioethanol production by metabolically engineered cellulolytic fungus Myceliophthora thermophila.	"Bioethanol, Consolidated bioprocessing, Metabolic engineering, Mitochondrial shuttle, Myceliophthora thermophila"	Metabolic engineering	"Key Laboratory of Engineering Biology for Low-carbon Manufacturing, Tianjin Institute of Industrial Biotechnology, Chinese Academy of Sciences, Tianjin, 300308, China; National Technology Innovation Center of Synthetic Biology, Tianjin, 300308, China. Electronic address: zhangyongli56@163.com."	China	2023
36771814	Enzyme-Catalyzed Polymerization of Kraft Lignin from Eucalyptus globulus: Comparison of Bacterial and Fungal Laccases Efficacy.	"bacterial laccase, central composite design, characterization, eucalypt, fungal laccase, kraft lignin, polymerization, response surface methodology"	Polymers	"Forest Sciences Institute (ICIFOR-INIA), CSIC, Ctra. de la Coruna Km 7.5, 28040 Madrid, Spain."	Spain	2023
37568174	Development of the thermophilic fungus Myceliophthora thermophila into glucoamylase hyperproduction system via the metabolic engineering using improved AsCas12a variants.	"CRISPR-AsCas12a, Genetic engineering, Glucoamylase, Hyper-production, Morphology, Myceliophthora thermophila, Secretion"	Microbial cell factories	"Division of Life Sciences and Medicine, University of Science and Technology of China, Hefei, 230027, China."	China	2023
36735022	Isolation of the Anti-Inflammatory Agent Myceliostatin from a Methionine-Enriched Culture of Myceliophthora thermophila ATCC 42464.		Journal of natural products	"Department of Molecular Target Medicine, Aichi Medical University School of Medicine, Nagakute 480-1195, Nagoya, Aichi, Japan."	Japan	2023
