Geneid	geno-ppgi	geno-ppfk	geno-pfba	geno-ptpi	geno-pgapdh	geno-ppgk	geno-pgpmi	geno-ppyk	geno-pglk	gfba-phxk	gfba-ppgi	gfba-ppfk	gfba-ptpi	gfba-pgapdh	gfba-ppgk	gfba-pgpmi	gfba-peno	gfba-ppyk	gfba-pglk	ggapdh-ppgi	ggapdh-ppfk	ggapdh-pfba	ggapdh-ptpi	ggapdh-ppgk	ggapdh-pgpmi	ggapdh-peno	ggapdh-ppyk	ggapdh-pglk	ghxk-ppgi	ghxk-ppfk	ghxk-pfba	ghxk-ptpi	ghxk-pgapdh	ghxk-ppgk	ghxk-pgpmi	ghxk-peno	ghxk-ppyk	gpfk-ppgi	gpfk-pfba	gpfk-ptpi	gpfk-pgapdh	gpfk-ppgk	gpfk-pgpmi	gpfk-peno	gpfk-ppyk	gpfk-pglk	ggpmi-ppgi	ggpmi-ppfk	ggpmi-pfba	ggpmi-ptpi	ggpmi-pgapdh	ggpmi-ppgk	ggpmi-ppyk	ggpmi-pglk	gpyk-phxk	gpyk-ppgi	gpyk-ppfk	gpyk-pfba	gpyk-ptpi	gpyk-pgapdh	gpyk-ppgk	gpyk-peno	gpyk-pglk	gtpi-phxk	gtpi-ppgi	gtpi-ppfk	gtpi-pfba	gtpi-pgapdh	gtpi-ppgk	gtpi-pgpmi	gtpi-peno	gtpi-pglk	gpgi-phxk	gpgi-ppfk	gpgi-pfba	gpgi-ptpi	gpgi-pgapdh	gpgi-ppgk	gpgi-pgpmi	gpgi-peno	gpgi-ppyk	WT
Mycth_2299619	33.7267117	23.16937367	28.73986918	46.71434882	38.5380152	18.95898199	24.49616816	42.86032327	36.8568482	26.98251828	34.34302281	22.28742165	20.20511741	19.84090567	21.62039106	41.50247502	70.52574243	22.56815928	61.94843289	27.8433044	69.75065171	22.22209066	41.94512815	17.85190532	29.63539978	24.82674793	17.2457212	19.068011	34.64912619	23.25193177	26.99802268	30.7630672	38.45787166	46.43354427	22.92710657	38.31399279	20.7137538	24.96008399	21.45411139	24.75910516	24.19986633	48.06860066	24.28640483	22.60230399	23.5130796	33.48578566	21.86803531	21.53679076	23.51641123	24.59990882	26.82036582	25.07655247	24.36835953	23.39751162	59.10082574	31.12963143	30.29363598	43.90968237	49.23023293	31.51153221	39.63532801	39.80936144	32.60155465	35.20904138	62.23696794	49.43124193	68.11832528	50.2540422	56.49206034	48.2926586	44.64264579	36.67317387	34.44	22.405	48.8	47.36	39.06	24.15	46.655	57.025	60.455	32.97888408
Mycth_2306286	59.64743049	57.54984887	48.53128483	38.10057958	50.76442646	45.90440643	56.20813894	36.81022098	34.53074409	28.87489397	30.73279885	32.82722134	33.55811011	28.36442169	32.84247686	29.26167015	24.22318523	33.29926846	26.82570328	44.37858827	31.92316747	38.46439234	32.77013918	33.77849805	39.46665792	42.83041021	47.7450264	42.07928185	30.5835771	33.98066013	30.83395004	30.07454752	31.16675383	28.15798519	33.72553124	29.34877529	37.14416194	38.32053849	30.71393423	33.21631607	32.31920078	26.53097303	31.18830968	30.00227271	35.85442831	32.57640628	67.93242581	62.00595044	52.71763821	62.46781701	52.03656269	47.0245575	57.47846011	56.4477664	24.54386586	31.17219775	26.96724566	28.22382267	27.48993113	32.77282243	27.95522286	29.65415023	30.05067656	48.61107277	33.66917784	42.06011572	33.06188595	34.4646707	35.61452859	35.19483352	38.41843299	54.58733552	31.59	30.7	25.585	29.125	30.075	38.625	27.81	27.475	26.725	33.36299921
Mycth_2305012	27.55138809	38.29740777	47.17093896	54.30534112	31.32089681	47.68944784	43.05569562	59.61360599	60.57816528	77.78770807	64.95062216	83.36454023	82.74310444	74.30391536	80.91152065	55.39425497	50.51818003	81.34124095	57.56998523	73.90806837	46.51049754	54.8645883	51.55382516	56.33316666	65.29737765	78.30701466	55.87557615	50.51647659	78.76565102	84.55535468	81.8893273	75.13003178	71.3407715	59.81814325	89.74033507	69.69840176	68.45396624	79.275687	82.44579094	74.9360162	83.71097095	57.42887517	85.04076718	77.53963024	85.42429856	78.99001351	41.87334304	40.40846566	57.64539381	44.48264227	69.46201761	66.7360285	51.0001492	43.30071464	54.16580581	92.46990437	92.40691769	72.52021285	63.85883099	88.56972996	77.91507053	77.79469155	91.76810966	48.91568865	28.11491069	45.2183024	34.89834902	53.88073928	40.64080008	49.12023266	51.23637088	45.33919333	69.255	80.585	56.295	54.865	62.095	75.12	60.04	51.62	48.75	73.68308136
Mycth_2305137	12.18120991	15.34619349	15.77059009	19.53126924	13.870846	13.65614203	13.83639532	21.78051877	20.86274577	25.08087273	22.5495606	25.37188615	21.53307629	18.16248159	22.60796686	18.63747697	28.17475843	24.55764906	36.39746582	26.2845758	33.53272562	14.6441671	20.26609772	13.60721028	21.41146387	24.81142228	17.77291203	14.40385962	30.20869478	26.65523992	25.03597228	25.603755	29.85936717	21.89043674	26.01075752	20.97099645	22.20714309	21.01023922	21.90056808	19.58843696	25.62629666	21.74009604	25.99595476	18.33376181	24.55689387	26.58274635	14.44425583	14.72976776	19.57909247	15.62530449	21.80062055	22.31999097	18.88062635	16.93687718	24.27129824	38.10240134	32.78002239	26.90875776	24.16812687	26.41780762	30.49069679	25.43341573	31.5541031	17.95766863	19.17949004	19.02732678	20.71373986	21.23824492	17.48899982	18.08271811	21.50524613	20.76484472	22.175	27.72	20.765	23.59	23.205	21.335	22.64	22.535	24.01	29.38878078
Mycth_2313301	303.3626304	302.9362699	291.6911805	317.0839399	336.8580502	263.8722337	291.0307774	290.8676364	248.5173119	173.5839337	206.8404617	182.9559981	218.4493332	230.133418	229.5621037	216.9639517	246.2944517	212.548015	179.4973899	219.318537	236.1235537	198.1768387	191.2939224	186.6900451	149.2907847	189.8162755	205.645576	219.8225581	235.432455	228.8111669	229.5215697	204.9813692	250.6289949	257.1675347	201.1785003	241.6464641	254.3367034	250.1744033	220.9349914	191.7708266	193.5487833	214.5424009	194.8981599	235.657158	242.1955676	184.2055177	362.0629584	326.2514342	330.1339965	386.2874283	352.0830077	373.5604892	383.6818678	342.2324968	208.7848854	171.1283887	173.8399893	211.0824833	233.7391729	192.8437313	174.6508524	186.274465	160.5756255	304.3249438	349.1527427	257.6036086	359.5610041	326.9727201	343.4330438	342.1974879	338.5433453	301.9297398	204.5	274.43	269.425	234.195	246.27	202.695	240.025	247.35	266.88	205.3820816
Mycth_2117192	111.2729159	118.3438702	108.0540517	101.3762735	112.3133267	113.6105789	125.1466856	100.4597421	92.19338463	86.21641497	83.75896552	88.25003247	106.5191651	105.2528602	103.7470105	78.83497913	78.81310383	99.16608556	65.40443469	118.7237345	81.81773289	133.0222196	87.63858034	128.96181	95.81158802	118.065221	130.0395354	127.9208518	98.95612195	126.7156649	114.6608949	98.03557848	106.8820417	89.5147665	121.1029381	97.25639835	117.3938366	156.3852586	131.5341392	98.92941116	111.5645763	89.10473763	109.9189309	117.5233547	134.6746731	99.77748646	168.4099679	147.193195	155.3240492	174.8442356	141.0897093	156.3363539	170.4279732	163.3717255	77.95584369	95.12528351	96.42741487	104.3854455	99.6052955	119.0878975	94.83774775	101.0177999	102.2560409	115.0432365	90.06334899	89.13361531	84.75777232	100.3347196	93.50856764	101.3397368	110.9093495	119.0484681	104.705	118.505	95.075	92.9	99.83	117.58	89.92	85.63	82.55	96.30738942
Mycth_2306029	76.94311817	95.03783002	80.53955177	70.62521544	70.88898911	96.10379431	98.2669661	74.18805458	77.82300691	92.82806231	81.92270461	95.906338	109.2471826	113.9727793	105.9431478	65.7287538	73.13538906	110.1528756	90.39786729	98.73931418	84.00411957	106.4915718	75.06641286	104.4878148	86.23253753	101.2423911	98.27706308	86.19176529	102.7863282	105.8896179	98.4955095	101.630706	91.10871974	74.95653823	115.4701943	75.11681409	115.0099394	151.9767641	106.7503137	108.8657896	108.3947344	69.12176359	101.4575801	110.0571179	132.6503232	89.88067362	111.1114472	84.76525811	103.7411785	111.9985735	94.07288915	110.534015	108.1612221	97.64789661	69.99407872	90.68880675	96.97407866	81.96872695	78.6031988	100.530516	93.2415955	79.94782402	93.97967578	87.60432616	73.62137349	72.70862459	70.22877669	70.66335795	63.88733743	69.35244795	80.1240578	95.57107398	84.29	129.025	76.475	77.13	82.97	101.475	77.24	71.75	74.865	80.98228348
Mycth_2304106	28.97226594	53.80226583	62.78048531	41.37292417	30.5288404	102.3880267	50.70925621	50.75551687	59.17583901	105.8445998	85.0614767	116.7912973	101.6008667	156.7182276	94.17678704	75.16804526	44.78577757	117.8667176	44.95517347	71.24664952	34.50848363	110.3829332	34.99197551	149.7453281	102.7113971	69.16428626	67.85044199	88.94217912	46.3635224	91.93904534	76.32525756	91.843523	41.22176871	39.01334408	58.82306068	39.87984542	72.06868645	64.88644345	103.9957766	142.247388	111.2368295	62.3106895	138.174767	181.4867328	77.84157037	69.03114459	51.6438425	62.64769703	60.93703967	47.77952756	69.39999578	60.09245339	47.34699191	48.81021975	38.81882948	49.92181147	56.17997438	32.76302119	38.61359694	40.45370716	38.3365941	55.80608542	63.34488891	37.8603317	30.96346473	36.78479776	38.12260023	42.67257729	42.41644525	38.62606945	45.95039072	40.83433528	44.225	116.52	40.045	46.125	37.175	48.895	44.755	43.53	39.645	73.66425839
Mycth_2303031	10.39105343	14.2210211	15.85365549	17.02046139	13.35163745	18.54638374	15.32809065	18.14507292	14.92509562	11.7310434	11.58214537	11.12633697	11.80739285	18.21794732	14.13251195	10.90972345	12.06604789	16.97116419	12.42459839	21.07958682	18.85245491	19.02406643	12.35388794	18.47256089	14.35495369	17.65001037	15.22493613	15.55208628	17.41332773	27.57888057	24.12064072	15.73450155	22.34043114	17.28501287	21.48400312	17.78250652	19.07920351	30.35194298	18.92701331	17.56836557	22.82374641	14.48684701	21.31115381	26.96864911	25.14530634	17.14801585	19.2029635	16.7923298	23.95835189	24.53377514	24.40143185	28.99021917	23.02909582	17.82399278	14.29210087	20.7335649	18.72462273	18.39308165	17.89231797	21.04873304	18.77888639	16.97936987	19.07713118	17.28772207	16.35359134	13.9587497	14.25497593	18.41739294	15.22377061	18.62492134	19.7024664	17.99766757	14.47	29.79	17.095	13.985	17.58	21.73	15.585	14.24	15.975	18.78868794
Mycth_2088816	86.1178863	86.78033114	69.56755807	58.80383541	69.70316488	68.79396288	86.62899055	62.27620635	64.20455843	62.05871486	62.11200535	65.62961352	59.22404961	51.4470733	71.45177845	57.66282906	72.29944186	64.71186263	81.80311789	168.3044421	121.264137	86.39576313	90.82032379	74.58185775	95.42563917	112.3072567	116.4779503	86.33091998	90.87981921	92.23176679	98.43136759	91.92298138	87.35741556	81.69192096	99.68993777	78.68962744	99.90468803	73.24937797	69.68749115	57.28135237	89.3260829	74.30462635	88.77670115	58.84878392	88.39324784	84.78357135	71.11720331	86.51009346	82.64479134	73.63443246	63.09408351	72.13677731	82.24880726	94.29283679	84.27263565	125.8406538	101.5030971	76.33502058	70.95330611	85.99362276	91.87849799	73.78810378	98.79408865	79.49051008	74.97657348	66.29376089	70.09347434	64.65833419	62.12935238	62.65678233	67.79358015	88.27838076	78.8	73.81	78.935	86.2	90.07	94.505	86.56	77.81	77.525	105.2204529
