PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
37161391,Current genetic strategies to investigate gene functions in Trichoderma reesei,"Ma C, Liu J, Tang J, Sun Y, Jiang X, Zhang T, Feng Y, Liu Q, Wang L.",Microb Cell Fact. 2023 May 10;22(1):97. doi: 10.1186/s12934-023-02104-3.,Ma C,Microb Cell Fact,2023,2023/5/10,PMC10170752,,10.1186/s12934-023-02104-3
36812909,Metabolic Engineering of Trichoderma reesei for l-Malic Acid Production,"Chen Y, Han A, Wang M, Wei D, Wang W.",J Agric Food Chem. 2023 Mar 8;71(9):4043-4050. doi: 10.1021/acs.jafc.2c09078. Epub 2023 Feb 22.,Chen Y,J Agric Food Chem,2023,2023/2/22,,,10.1021/acs.jafc.2c09078
34547941,Sorbicillinoids from the alga-epiphytic fungus Trichoderma reesei Z56-8,"Ma XY, Shi ZZ, Ji NY.",Nat Prod Res. 2023 Feb;37(3):369-374. doi: 10.1080/14786419.2021.1980793. Epub 2021 Sep 22.,Ma XY,Nat Prod Res,2023,2021/9/22,,,10.1080/14786419.2021.1980793
36917273,Alleviating vacuolar transport improves cellulase production in Trichoderma reesei,"Yan S, Xu Y, Tao XM, Yu XW.",Appl Microbiol Biotechnol. 2023 Apr;107(7-8):2483-2499. doi: 10.1007/s00253-023-12478-4. Epub 2023 Mar 14.,Yan S,Appl Microbiol Biotechnol,2023,2023/3/14,,,10.1007/s00253-023-12478-4
36563056,Engineering Trichoderma reesei for the hyperproduction of cellulose induced protein 1 (Cip1) on a sophorose-containing inducer to efficiently saccharify alkali-pretreated corn stover,"Li J, Chen Y, Gao Y, Mo Y, Long T, Yao B, Li Y.",Prep Biochem Biotechnol. 2023;53(7):880-890. doi: 10.1080/10826068.2022.2158469. Epub 2022 Dec 23.,Li J,Prep Biochem Biotechnol,2023,2022/12/23,,,10.1080/10826068.2022.2158469
37400774,RGS4 impacts carbohydrate and siderophore metabolism in Trichoderma reesei,"Schalamun M, Molin EM, Schmoll M.",BMC Genomics. 2023 Jul 3;24(1):372. doi: 10.1186/s12864-023-09467-2.,Schalamun M,BMC Genomics,2023,2023/7/3,PMC10316542,,10.1186/s12864-023-09467-2
37623722,New Sorbicillinoids from the Mangrove Endophytic Fungus Trichoderma reesei SCNU-F0042,"Li J, Chen T, Yu J, Jia H, Chen C, Long Y.",Mar Drugs. 2023 Aug 5;21(8):442. doi: 10.3390/md21080442.,Li J,Mar Drugs,2023,2023/8/25,PMC10455806,,10.3390/md21080442
37042195,Simultaneous Production of Cellulase and β-Carotene in the Filamentous Fungus Trichoderma reesei,"Li J, Chen Y, Gao A, Wei L, Wei D, Wang W.",J Agric Food Chem. 2023 Apr 26;71(16):6358-6365. doi: 10.1021/acs.jafc.3c00690. Epub 2023 Apr 12.,Li J,J Agric Food Chem,2023,2023/4/12,,,10.1021/acs.jafc.3c00690
36906237,BsEXLX of engineered Trichoderma reesei strain as dual-active expansin to boost cellulases secretion for synergistic enhancement of biomass enzymatic saccharification in corn and Miscanthus straws,"Xu C, Xia T, Peng H, Liu P, Wang Y, Wang Y, Kang H, Tang J, Nauman Aftab M, Peng L.",Bioresour Technol. 2023 May;376:128844. doi: 10.1016/j.biortech.2023.128844. Epub 2023 Mar 10.,Xu C,Bioresour Technol,2023,2023/3/11,,,10.1016/j.biortech.2023.128844
37017807,"Whole-genome sequencing and comparative genomic analysis of potential biotechnological strains of Trichoderma harzianum, Trichoderma atroviride, and Trichoderma reesei","Rosolen RR, Horta MAC, de Azevedo PHC, da Silva CC, Sforca DA, Goldman GH, de Souza AP.",Mol Genet Genomics. 2023 May;298(3):735-754. doi: 10.1007/s00438-023-02013-5. Epub 2023 Apr 5.,Rosolen RR,Mol Genet Genomics,2023,2023/4/5,,,10.1007/s00438-023-02013-5
36830663,Intracellular Sugar Transporters Facilitate Cellulase Synthesis in Trichoderma reesei Using Lactose,"Wang H, Pang AP, Li B, Huo L, Wu FG, Lin F.",Biomolecules. 2023 Feb 4;13(2):295. doi: 10.3390/biom13020295.,Wang H,Biomolecules,2023,2023/2/25,PMC9953249,,10.3390/biom13020295
37550222,Ultra-high-throughput screening of Trichoderma reesei strains capable of carbon catabolite repression release and cellulase hyper-production using a microfluidic droplet platform,"Luu XC, Shida Y, Suzuki Y, Kuwahara D, Fujimoto T, Takahashi Y, Sato N, Nakamura A, Ogasawara W.",Biosci Biotechnol Biochem. 2023 Aug 7:zbad108. doi: 10.1093/bbb/zbad108. Online ahead of print.,Luu XC,Biosci Biotechnol Biochem,2023,2023/8/7,,,10.1093/bbb/zbad108
36805586,TrLys9 participates in fungal development and lysine biosynthesis in Trichoderma reesei,"Lan J, Zhang L, Gao J, He R.",J Gen Appl Microbiol. 2023 Feb 17. doi: 10.2323/jgam.2023.01.002. Online ahead of print.,Lan J,J Gen Appl Microbiol,2023,2023/2/22,,,10.2323/jgam.2023.01.002
36675895,The ERAD Pathway Participates in Fungal Growth and Cellulase Secretion in Trichoderma reesei,"Yao C, Yan M, Li K, Gao W, Li X, Zhang J, Liu H, Zhong Y.",J Fungi (Basel). 2023 Jan 4;9(1):74. doi: 10.3390/jof9010074.,Yao C,J Fungi (Basel),2023,2023/1/21,PMC9862206,,10.3390/jof9010074
37488642,Role of cellulose response transporter-like protein CRT2 in cellulase induction in Trichoderma reesei,"Yan S, Xu Y, Yu XW.",Biotechnol Biofuels Bioprod. 2023 Jul 24;16(1):118. doi: 10.1186/s13068-023-02371-7.,Yan S,Biotechnol Biofuels Bioprod,2023,2023/7/24,PMC10364367,,10.1186/s13068-023-02371-7
36513366,A multi-plex protein expression system for production of complex enzyme formulations in Trichoderma reesei,"Subramanian V, Farmer SJ, Heiland KL, Moore KT, Wall TAV, Sun W, Chaudhari YB, Himmel ME, Decker SR.",J Ind Microbiol Biotechnol. 2023 Feb 13;49(6):kuac027. doi: 10.1093/jimb/kuac027.,Subramanian V,J Ind Microbiol Biotechnol,2023,2022/12/13,PMC9923369,,10.1093/jimb/kuac027
37208691,Inducer-free recombinant protein production in Trichoderma reesei: secretory production of endogenous enzymes and heterologous nanobodies using glucose as the sole carbon source,"Arai T, Wada M, Nishiguchi H, Takimura Y, Ishii J.",Microb Cell Fact. 2023 May 19;22(1):103. doi: 10.1186/s12934-023-02109-y.,Arai T,Microb Cell Fact,2023,2023/5/19,PMC10197057,,10.1186/s12934-023-02109-y
37558099,Engineering the metabolism and morphology of the filamentous fungus Trichoderma reesei for efficient L-malic acid production,"Chen Y, Wang J, Wang M, Han A, Zhao X, Wang W, Wei D.",Bioresour Technol. 2023 Nov;387:129629. doi: 10.1016/j.biortech.2023.129629. Epub 2023 Aug 7.,Chen Y,Bioresour Technol,2023,2023/8/9,,,10.1016/j.biortech.2023.129629
36565817,A novel fusion transcription factor drives high cellulase and xylanase production on glucose in Trichoderma reesei,"Lv D, Zhang W, Meng X, Liu W.",Bioresour Technol. 2023 Feb;370:128520. doi: 10.1016/j.biortech.2022.128520. Epub 2022 Dec 21.,Lv D,Bioresour Technol,2023,2022/12/24,,,10.1016/j.biortech.2022.128520
36828153,The Glycoside Hydrolase Family 35 β-galactosidase from Trichoderma reesei debranches xyloglucan oligosaccharides from tamarind and jatobá,"Carneiro LABC, Wurman J, Dupree P, Ward RJ.",Biochimie. 2023 Aug;211:16-24. doi: 10.1016/j.biochi.2023.02.009. Epub 2023 Feb 22.,Carneiro LABC,Biochimie,2023,2023/2/24,,,10.1016/j.biochi.2023.02.009
37523749,Single Mutation in Transcriptional Activator Xyr1 Enhances Cellulase and Xylanase Production in Trichoderma reesei on Glucose,"Lv D, Zhang W, Meng X, Liu W.",J Agric Food Chem. 2023 Aug 9;71(31):11993-12003. doi: 10.1021/acs.jafc.3c03466. Epub 2023 Jul 31.,Lv D,J Agric Food Chem,2023,2023/7/31,,,10.1021/acs.jafc.3c03466
36773812,Exogenous microbial antagonism affects the bioaugmentation of humus formation under different inoculation using Trichoderma reesei and Phanerochaete chrysosporium,"Wang L, Sun K, Pan S, Wang S, Yan Z, Zhu L, Yang X.",Bioresour Technol. 2023 Apr;373:128717. doi: 10.1016/j.biortech.2023.128717. Epub 2023 Feb 10.,Wang L,Bioresour Technol,2023,2023/2/11,,,10.1016/j.biortech.2023.128717
36849101,Dual strategy for bioconversion of elephant grass biomass into fermentable sugars using Trichoderma reesei towards bioethanol production,"Iyyappan J, Pravin R, Al-Ghanim KA, Govindarajan M, Nicoletti M, Baskar G.",Bioresour Technol. 2023 Apr;374:128804. doi: 10.1016/j.biortech.2023.128804. Epub 2023 Feb 26.,Iyyappan J,Bioresour Technol,2023,2023/2/27,,,10.1016/j.biortech.2023.128804
36841771,Combining manipulation of integration loci and secretory pathway on expression of an Aspergillus niger glucose oxidase gene in Trichoderma reesei,"Ji W, Wang X, Liu X, Wang Y, Liu F, Xu B, Luo H, Tu T, Zhang W, Xu X, Su X.",Microb Cell Fact. 2023 Feb 25;22(1):38. doi: 10.1186/s12934-023-02046-w.,Ji W,Microb Cell Fact,2023,2023/2/25,PMC9960163,,10.1186/s12934-023-02046-w
36732590,"MAPkinases regulate secondary metabolism, sexual development and light dependent cellulase regulation in Trichoderma reesei","Schalamun M, Beier S, Hinterdobler W, Wanko N, Schinnerl J, Brecker L, Engl DE, Schmoll M.",Sci Rep. 2023 Feb 2;13(1):1912. doi: 10.1038/s41598-023-28938-w.,Schalamun M,Sci Rep,2023,2023/2/2,PMC9894936,,10.1038/s41598-023-28938-w
36493475,Structural properties and adsorption capacities of Mesona chinensis Benth residues dietary fiber prepared by cellulase treatment assisted by Aspergillus niger or Trichoderma reesei,"Si J, Yang C, Chen Y, Xie J, Tian S, Cheng Y, Hu X, Yu Q.",Food Chem. 2023 May 1;407:135149. doi: 10.1016/j.foodchem.2022.135149. Epub 2022 Dec 5.,Si J,Food Chem,2023,2022/12/9,,,10.1016/j.foodchem.2022.135149
36367617,Solid-State Fermentation of Steam-Exploded Opuntia ficus-indica Cladodes Using Trichoderma reesei CCT-2768 for the Production of Cellulolytic Enzymes,"Souza Filho PF, Dos Santos ES.",Appl Biochem Biotechnol. 2023 Mar;195(3):1675-1698. doi: 10.1007/s12010-022-04222-x. Epub 2022 Nov 11.,Souza Filho PF,Appl Biochem Biotechnol,2023,2022/11/11,,,10.1007/s12010-022-04222-x
37601264,Response surface methodology for the mixed fungal fermentation of Codonopsis pilosula straw using Trichoderma reesei and Coprinus comatus,"Wei T, Chen H, Wu D, Gao D, Cai Y, Cao X, Xu H, Yang J, Guo P.",PeerJ. 2023 Aug 14;11:e15757. doi: 10.7717/peerj.15757. eCollection 2023.,Wei T,PeerJ,2023,2023/8/21,PMC10434135,,10.7717/peerj.15757
36602369,Role of the Nitrogen Metabolism Regulator TAM1 in Regulation of Cellulase Gene Expression in Trichoderma reesei,"Yang R, Wang Z, Xia Y, Zheng F, Kang F, Meng X, Zhang W, Liu W.",Appl Environ Microbiol. 2023 Jan 31;89(1):e0142122. doi: 10.1128/aem.01421-22. Epub 2023 Jan 5.,Yang R,Appl Environ Microbiol,2023,2023/1/5,PMC9888229,,10.1128/aem.01421-22
